type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax 300EX 1998-2000,,Right Tank,926,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 300EX 1998-2000,,Left Tank,927,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 300EX 1998-2000,,Upper Right Shroud,924,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 300EX 1998-2000,,Upper Left Shroud,925,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 300EX 1998-2000,,Right Side Cover,928,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 300EX 1998-2000,,Left Side Cover,929,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 300EX 1998-2000,,Left Side Cover,929,Designer Added Icon 1,,307.5192222687952,-54.844951534212875,11,-48,5,Black,6984,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,,Left Side Cover,929,User Number,,605.34266208863,253.887771795506,,-46,6,White,,,,,,,,,,,,-16,left,150,Bold Italic 11,1,,,,
FourTrax 300EX 1998-2000,,Right Side Cover,928,Designer Added Icon 1,,670.1739578129464,-143.7374796850178,11,48,5,Black,6984,,,,,,,,,,,,,,,,,1,,
FourTrax 300EX 1998-2000,,Right Side Cover,928,User Number,,367.6221920276432,163.10391325851376,,46,6,White,,,,,,,,,,,,-16,left,150,Bold Italic 11,1,,,,
FourTrax 300EX 1998-2000,,Left Tank,927,Designer Added Icon 1,,1511.0641415384616,-246.0133037802198,4.2,62,11,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax 300EX 1998-2000,,Right Tank,926,Designer Added Icon 1,,67.30485846153829,-246.0133037802198,4.2,-62,11,Black,7310,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,,Upper Left Shroud,925,Designer Added Icon 1,,551.9517207209751,388.57070936957774,9.9,0,8,Black,8441,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,,Upper Right Shroud,924,Designer Added Icon 1,,634.1932792790249,388.57070936957774,9.9,0,8,Black,8441,,,,,,,,,,,,,,,,,1,,
FourTrax 300EX 1998-2000,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Left Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 300EX 1998-2000,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
