type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax 90 (Green) 1998,,Right Tank,897,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 (Green) 1998,,Left Tank,898,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 (Green) 1998,,Upper Right Shroud,895,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 (Green) 1998,,Upper Left Shroud,896,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 (Green) 1998,,Left Tank,898,Designer Added Icon 1,,453.6257963131453,224.40895239797484,1.273700614610034,-161,5,Black,7310,,,,,,,,,,,,,,,,,,1,
FourTrax 90 (Green) 1998,,Left Tank,898,Designer Added Icon 2,,170.54617612866346,786.0023924413822,12,0,6,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax 90 (Green) 1998,,Left Tank,898,Designer Added Icon 3,,-63.83157391655269,1662.636054948165,12,68,7,Black,6114,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,,Right Tank,897,Designer Added Icon 1,,668.4482036868548,224.40895239797484,1.273700614610034,161,5,Black,7310,,,,,,,,,,,,,,,,,1,1,
FourTrax 90 (Green) 1998,,Right Tank,897,Designer Added Icon 2,,951.5278238713366,786.0023924413822,12,0,6,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,,Right Tank,897,Designer Added Icon 3,,1185.9055739165528,1662.636054948165,12,-68,7,Black,6114,,,,,,,,,,,,,,,,,1,,
FourTrax 90 (Green) 1998,,Upper Left Shroud,896,Designer Added Icon 1,,733.2374778742609,371.3780191056218,11,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,,Upper Right Shroud,895,Designer Added Icon 1,,768.5415221257391,371.3780191056218,11,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
FourTrax 90 (Green) 1998,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 (Green) 1998,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
