type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax 90 1994,,Right Tank,897,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 1994,,Left Tank,898,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 1994,,Upper Right Shroud,895,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 1994,,Upper Left Shroud,896,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax 90 1994,,Left Tank,898,Designer Added Icon 1,,452.30887767724795,130.1624401311461,1.5941455999999998,27,5,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax 90 1994,,Left Tank,898,Designer Added Icon 2,,136.46547956230927,746.4080035642932,12,8,6,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax 90 1994,,Left Tank,898,Designer Added Icon 3,,-555.582499418423,815.1916769315465,9.3,28,7,Black,6114,,,,,,,,,,,,,,,,,1,,
FourTrax 90 1994,,Right Tank,897,Designer Added Icon 1,,669.7651223227522,130.1624401311461,1.5941455999999998,-27,5,Black,7310,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,,Right Tank,897,Designer Added Icon 2,,985.6085204376908,746.4080035642932,12,-8,6,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,,Right Tank,897,Designer Added Icon 3,,1677.6564994184232,815.1916769315465,9.3,-28,7,Black,6114,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,,Upper Left Shroud,896,Designer Added Icon 1,,782.4377130776539,419.1311885677386,11,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,,Upper Right Shroud,895,Designer Added Icon 1,,719.3412869223461,419.1311885677386,11,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
FourTrax 90 1994,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax 90 1994,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
