type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"FourTrax Rancher 2000-2001,2003",,Right Tank,1031,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Left Tank,1032,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Dashboard Cover,1030,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Front Fender,1035,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Left Front Fender,1036,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Front Hood,1039,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Side Cover,1033,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Left Side Cover,1034,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Rear Fender,1037,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Left Rear Fender,1038,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Left Rear Fender,1038,Designer Added Icon 1,,703.2282638168208,472.955124501394,36.1,0,8,Black,8320,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Rear Fender,1037,Designer Added Icon 1,,1509.1737361831792,472.955124501394,36.1,0,8,Black,8320,,,,,,,,,,,,,,,,,1,,
"FourTrax Rancher 2000-2001,2003",,Left Side Cover,1034,Designer Added Icon 1,,723.8431518343883,-97.13969240246027,13,0,5,Black,6984,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Left Side Cover,1034,User Number,,886.4613261162468,294.2784712759665,,0,6,White,,,,,,,,,,,,-8,left,287,Bold Italic 11,1,,,,
"FourTrax Rancher 2000-2001,2003",,Right Side Cover,1033,Designer Added Icon 1,,1238.1038481656115,-97.13969240246027,13,0,5,Black,6984,,,,,,,,,,,,,,,,,1,,
"FourTrax Rancher 2000-2001,2003",,Right Side Cover,1033,User Number,,1075.485673883753,294.2784712759665,,0,6,White,,,,,,,,,,,,-8,left,287,Bold Italic 11,1,,,,
"FourTrax Rancher 2000-2001,2003",,Left Tank,1032,Designer Added Icon 1,,735.0788609738726,-433.6385272224742,2.7999999999999994,23,13,Black,7310,,,,,,,,,,,,,,,,,1,,
"FourTrax Rancher 2000-2001,2003",,Left Tank,1032,Designer Added Icon 2,,480.49781219808693,509.717015480437,13.5,6,14,Black,6981,,,,,,,,,,,,,,,,,1,,
"FourTrax Rancher 2000-2001,2003",,Left Tank,1032,Designer Added Icon 3,,472.68857757306284,604.989677905731,3.6,70,15,Black,6114,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Tank,1031,Designer Added Icon 1,,885.1711390261274,-433.6385272224742,2.7999999999999994,-23,13,Black,7310,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Tank,1031,Designer Added Icon 2,,1139.7521878019131,509.717015480437,13.5,-6,14,Black,6981,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Tank,1031,Designer Added Icon 3,,1147.561422426937,604.989677905731,3.6,-70,15,Black,6114,,,,,,,,,,,,,,,,,1,,
"FourTrax Rancher 2000-2001,2003",,Left Front Fender,1036,Designer Added Icon 1,,415.66062646830864,1024.2534417119366,17.44357619540692,-78,19,Black,6981,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",,Right Front Fender,1035,Designer Added Icon 1,,290.36437353169134,1175.7244595342702,17.44357619540692,78,19,Black,6981,,,,,,,,,,,,,,,,,1,,
"FourTrax Rancher 2000-2001,2003",,Front Hood,1039,Designer Added Icon 1,,497.3982732292747,409.91916565813403,12.51940748610765,0,9,Black,8313,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourTrax Rancher 2000-2001,2003",X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
