type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax Rancher 4x4 ES 2000-2001,,Right Tank,1031,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Left Tank,1032,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Dashboard Cover,1030,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Right Front Fender,1035,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Left Front Fender,1036,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Front Hood,1039,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Right Side Cover,1033,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Left Side Cover,1034,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Right Rear Fender,1037,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Left Rear Fender,1038,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Left Rear Fender,1038,Designer Added Icon 1,,769.3493154844514,374.8400155752324,42.1,0,4,Black,8320,,,,,,,,,,,,,,,,,,,
FourTrax Rancher 4x4 ES 2000-2001,,Right Rear Fender,1037,Designer Added Icon 1,,1443.0526845155487,374.8400155752324,42.1,0,4,Black,8320,,,,,,,,,,,,,,,,,1,,
