type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax Rincon (Brown) 2011-2014,,Right Tank,620,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Left Tank,621,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Front Hood,625,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Right Side Cover,622,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Left Side Cover,623,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Left Side Cover,623,Designer Added Icon 1,,665.3984572513872,-122.56153924396713,10,25,5,Black,6984,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Left Side Cover,623,User Number,,597.8698710473668,227.44578079940598,,25,6,White,,,,,,,,,,,,1,left,166,Bold Italic 11,1,,,,
FourTrax Rincon (Brown) 2011-2014,,Right Side Cover,622,Designer Added Icon 1,,311.85954274861285,-122.56153924396713,10,-25,5,Black,6984,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon (Brown) 2011-2014,,Right Side Cover,622,User Number,,379.3881289526332,227.44578079940598,,-25,6,White,,,,,,,,,,,,1,left,166,Bold Italic 11,1,,,,
FourTrax Rincon (Brown) 2011-2014,,Left Tank,621,Designer Added Icon 1,,1005.6714821818422,-558.9312953515076,4.086405682106154,27,5,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon (Brown) 2011-2014,,Left Tank,621,Designer Added Icon 2,,581.0394174045143,691.0678563739597,12.88640568210621,9,6,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon (Brown) 2011-2014,,Right Tank,620,Designer Added Icon 1,,899.0665178181579,-558.9312953515076,4.086405682106154,-27,5,Black,7310,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Right Tank,620,Designer Added Icon 2,,1323.6985825954857,691.0678563739597,12.88640568210621,-9,6,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,,Front Hood,625,Designer Added Icon 1,,594.4175,368.4428011087445,15.003288983329178,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Right Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Brown) 2011-2014,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
