type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax Rincon (Green) 2011-2014,,Right Tank,620,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Green) 2011-2014,,Left Tank,621,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Green) 2011-2014,,Front Hood,625,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Green) 2011-2014,,Right Side Cover,622,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Green) 2011-2014,,Left Side Cover,623,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon (Green) 2011-2014,,Left Side Cover,623,Designer Added Icon 1,,570.1380611938899,55.767220511999646,6.226888516214548,30,5,Black,6984,,,,,,,,,,,,,,,,,,,
FourTrax Rincon (Green) 2011-2014,,Left Side Cover,623,User Number,,647.3274271404521,275.9522300445474,,32,6,White,,,,,,,,,,,,1,left,176,Bold Italic 11,1,,,,
FourTrax Rincon (Green) 2011-2014,,Right Side Cover,622,Designer Added Icon 1,,412.6768686306715,58.14876186538312,6.226888516214548,-30,5,Black,6984,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon (Green) 2011-2014,,Right Side Cover,622,User Number,,329.93057285954796,275.9522300445474,,-32,6,White,,,,,,,,,,,,1,left,176,Bold Italic 11,1,,,,
FourTrax Rincon (Green) 2011-2014,,Left Tank,621,Designer Added Icon 1,,1046.1126312082542,-463.3431249254425,3.8364056821061543,26,5,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon (Green) 2011-2014,,Left Tank,621,Designer Added Icon 2,,658.2452473640285,725.9943032604066,12.336405682106202,8,6,Black,6981,,,,,,,,,,,,,,,,,1,,
