type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FourTrax Rincon 2011-2014,,Right Tank,620,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon 2011-2014,,Left Tank,621,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon 2011-2014,,Front Hood,625,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon 2011-2014,,Right Side Cover,622,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon 2011-2014,,Left Side Cover,623,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
FourTrax Rincon 2011-2014,,Left Side Cover,623,Designer Added Icon 1,,735.7803639992394,-56.93516673583467,10,31,6,Black,6984,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,,Left Side Cover,623,User Number,,612.136473766526,254.07677254183656,,32,7,White,,,,,,,,,,,,1,left,172,Bold Italic 11,1,,,,
FourTrax Rincon 2011-2014,,Right Side Cover,622,Designer Added Icon 1,,241.47763600076064,-56.93516673583467,10,-31,6,Black,6984,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon 2011-2014,,Right Side Cover,622,User Number,,365.121526233474,254.07677254183656,,-32,7,White,,,,,,,,,,,,1,left,172,Bold Italic 11,1,,,,
FourTrax Rincon 2011-2014,,Left Tank,621,Designer Added Icon 1,,718.9069709036468,-551.5783591648873,4.2,25,5,Black,7310,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon 2011-2014,,Left Tank,621,Designer Added Icon 2,,617.8040983376163,768.2736863334738,15.9,9,6,Black,6981,,,,,,,,,,,,,,,,,1,,
FourTrax Rincon 2011-2014,,Right Tank,620,Designer Added Icon 1,,1185.8310290963532,-551.5783591648873,4.2,-25,5,Black,7310,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,,Right Tank,620,Designer Added Icon 2,,1286.9339016623837,768.2736863334738,15.9,-9,6,Black,6981,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,,Front Hood,625,Designer Added Icon 1,,594.4175,368.4428011087445,15.728582380517862,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Right Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourTrax Rincon 2011-2014,X,Left Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
