type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"SPORTRAX 250EX 2002,2004-2005",,Rear Fender,1052,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Top Tank,1053,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Right Front Fender,1043,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Left Front Fender,1044,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Front Hood,1042,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Upper Right Shroud,1045,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Upper Left Shroud,1046,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Right Side Cover,1047,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Left Side Cover,1048,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Right Rear Fender,1050,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Left Rear Fender,1051,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Left Rear Fender,1051,Designer Added Icon 1,,1142.6424129006357,330.5448362329077,24.3897776704,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Right Rear Fender,1050,Designer Added Icon 1,,1011.4355870993643,330.5448362329077,24.3897776704,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
"SPORTRAX 250EX 2002,2004-2005",,Left Side Cover,1048,Designer Added Icon 1,,816.6599619399368,-61.536155092570226,13.487704937004718,0,5,Black,6984,,,,,,,,,,,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Left Side Cover,1048,User Number,,1005.5636249435998,334.16730740983974,,0,6,White,,,,,,,,,,,,1,left,264,Bold Italic 11,1,,,,
"SPORTRAX 250EX 2002,2004-2005",,Right Side Cover,1047,Designer Added Icon 1,,1245.9650380600633,-61.536155092570226,13.487704937004718,0,5,Black,6984,,,,,,,,,,,,,,,,,1,,
"SPORTRAX 250EX 2002,2004-2005",,Right Side Cover,1047,User Number,,1057.0613750564003,334.16730740983974,,0,6,White,,,,,,,,,,,,1,left,264,Bold Italic 11,1,,,,
"SPORTRAX 250EX 2002,2004-2005",,Left Front Fender,1044,Designer Added Icon 1,,814.0387785710593,957.0542254977653,12,-25,5,Black,6981,,,,,,,,,,,,,,,,,1,,
"SPORTRAX 250EX 2002,2004-2005",,Right Front Fender,1043,Designer Added Icon 1,,381.3262214289407,957.0542254977653,12,25,5,Black,6981,,,,,,,,,,,,,,,,,,,
"SPORTRAX 250EX 2002,2004-2005",,Upper Left Shroud,1046,Designer Added Icon 1,,1044.2168834265358,-607.0617208175042,4.200000000000002,16,6,Black,7310,,,,,,,,,,,,,,,,,1,,
