type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
SPORTRAX 300EX 2005,,Right Tank,926,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 300EX 2005,,Left Tank,927,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 300EX 2005,,Upper Right Shroud,924,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 300EX 2005,,Upper Left Shroud,925,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 300EX 2005,,Right Side Cover,928,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 300EX 2005,,Left Side Cover,929,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 300EX 2005,,Left Side Cover,929,Designer Added Icon 1,,444.97619449333433,194.9776408421321,6,-55,5,Black,6984,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,,Left Side Cover,929,User Number,,654.4344378831083,241.88755993463357,,-53,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
SPORTRAX 300EX 2005,,Right Side Cover,928,Designer Added Icon 1,,601.7505446842451,125.94408174629426,6,55,5,Black,6984,,,,,,,,,,,,,,,,,1,,
SPORTRAX 300EX 2005,,Right Side Cover,928,User Number,,395.12929687375214,189.8759743144818,,53,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
SPORTRAX 300EX 2005,,Left Tank,927,Designer Added Icon 1,,1279.9647240667762,233.68251879320462,1.6911747304972147,75,5,Black,7310,,,,,,,,,,,,,,,,,1,,
SPORTRAX 300EX 2005,,Left Tank,927,Designer Added Icon 2,,503.07395483600686,361.23174956243537,12.3,54,6,Black,6981,,,,,,,,,,,,,,,,,1,,
SPORTRAX 300EX 2005,,Right Tank,926,Designer Added Icon 1,,314.05805685690444,237.95173177239027,1.6911747304972147,-75,5,Black,7310,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,,Right Tank,926,Designer Added Icon 2,,1075.295045163993,361.23174956243537,12.3,-54,6,Black,6981,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,,Upper Left Shroud,925,Designer Added Icon 1,,580.7171920917096,276.96068045112776,8.8,8,6,Black,6981,,,,,,,,,,,,,,,,,1,,
SPORTRAX 300EX 2005,,Upper Right Shroud,924,Designer Added Icon 1,,605.4278079082903,276.96068045112776,8.8,-8,6,Black,6981,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 300EX 2005,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
