type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
SPORTRAX 90 (Red) 2002-2005,,Right Tank,897,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Left Tank,898,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Upper Right Shroud,895,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Upper Left Shroud,896,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Right Tank,897,Designer Added Icon 1,,795.9328173635126,-229.71916656318842,3.4,39,5,Black,7310,,,,,,,,,,,,,,,,,1,,
SPORTRAX 90 (Red) 2002-2005,,Right Tank,897,Designer Added Icon 2,,316.410154922942,652.8805164796009,9,21,6,Black,6981,,,,,,,,,,,,,,,,,1,,
SPORTRAX 90 (Red) 2002-2005,,Left Tank,898,Designer Added Icon 1,,330.47718263648744,-229.71916656318842,3.4,-39,5,Black,7310,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Left Tank,898,Designer Added Icon 2,,809.9998450770581,652.8805164796009,9,-21,6,Black,6981,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Upper Left Shroud,896,Designer Added Icon 1,,899.6500381210317,355.46029595158285,12.5,-40,6,Black,6981,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,,Upper Right Shroud,895,Designer Added Icon 1,,602.1289618789683,355.46029595158285,12.5,40,6,Black,6981,,,,,,,,,,,,,,,,,1,,
SPORTRAX 90 (Red) 2002-2005,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Red) 2002-2005,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
