type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
SPORTRAX 90 (Yellow) 2002-2005,,Right Tank,897,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Left Tank,898,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Upper Right Shroud,895,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Upper Left Shroud,896,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Left Tank,898,Designer Added Icon 1,,519.6888026084349,54.36002458356082,1.7737006146100345,8,5,Black,7310,,,,,,,,,,,,,,,,,1,,
SPORTRAX 90 (Yellow) 2002-2005,,Left Tank,898,Designer Added Icon 2,,380.71770743786186,780.0979660298866,12.423700614610077,-11,6,Black,6981,,,,,,,,,,,,,,,,,1,,
SPORTRAX 90 (Yellow) 2002-2005,,Right Tank,897,Designer Added Icon 1,,602.3851973915652,54.36002458356082,1.7737006146100345,-8,5,Black,7310,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Right Tank,897,Designer Added Icon 2,,741.3562925621382,780.0979660298866,12.423700614610077,11,6,Black,6981,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Upper Left Shroud,896,Designer Added Icon 1,,795.4613047491404,291.78940333542704,8.796350764739188,-36,6,Black,6981,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,,Upper Right Shroud,895,Designer Added Icon 1,,706.3176952508596,291.78940333542704,8.796350764739188,36,6,Black,6981,,,,,,,,,,,,,,,,,1,,
SPORTRAX 90 (Yellow) 2002-2005,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTRAX 90 (Yellow) 2002-2005,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
