type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX 680 FA 2014,,Right Tank,620,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX 680 FA 2014,,Left Tank,621,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX 680 FA 2014,,Front Hood,625,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX 680 FA 2014,,Right Side Cover,622,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX 680 FA 2014,,Left Side Cover,623,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX 680 FA 2014,,Right Side Cover,622,Designer Added Icon 1,,341.34385503487533,225.5435671035181,10.526888516214578,-23,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX 680 FA 2014,,Left Tank,621,Designer Added Icon 1,,1494.6417385920986,27.465365531468922,2.582663336630542,63,5,Black,7310,,,,,,,,,,,,,,,,,1,,
TRX 680 FA 2014,,Left Tank,621,Designer Added Icon 2,,715.2305028103366,477.8327069619682,12.836405682106209,47,6,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX 680 FA 2014,,Right Tank,620,Designer Added Icon 1,,410.09626140790147,27.465365531468922,2.582663336630542,-63,5,Black,7310,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,,Right Tank,620,Designer Added Icon 2,,1189.5074971896634,477.8327069619682,12.836405682106209,-47,6,Black,6981,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,,Front Hood,625,Designer Added Icon 1,,594.4175,368.4428011087445,17.186561206230973,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,,Right Side Cover,622,User Number,,490.4677365656433,226.7236721616619,,-33,6,White,,,,,,,,,,,,1,left,136,Bold Italic 11,1,,,,
TRX 680 FA 2014,,Left Side Cover,623,Designer Added Icon 1,,636.5951449651246,225.5435671035181,10.526888516214578,23,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,,Left Side Cover,623,User Number,,487.4712634343567,226.7236721616619,,33,6,White,,,,,,,,,,,,1,left,136,Bold Italic 11,1,,,,
TRX 680 FA 2014,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Right Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX 680 FA 2014,X,Left Tank,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
