type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX400EX (Black) 2006-2007,,Right Tank,918,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Left Tank,919,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Top Tank,1069,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Dashboard Cover,1070,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Front Plate,1343,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Right Front Fender,906,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Left Front Fender,907,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Front Hood,905,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Upper Right Shroud,910,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Upper Left Shroud,911,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Right Side Cover,914,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Left Side Cover,915,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Right Rear Fender,908,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Left Rear Fender,909,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Black) 2006-2007,,Left Rear Fender,909,Designer Added Icon 1,,551.2541127284833,235.97177003920254,22.300000000000004,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX400EX (Black) 2006-2007,,Right Rear Fender,908,Designer Added Icon 1,,584.5288872715166,235.97177003920254,22.300000000000004,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX400EX (Black) 2006-2007,,Left Side Cover,915,Designer Added Icon 1,,377.94969396947215,230.67854374843603,4.620338026462759,-54,5,Black,6984,,,,,,,,,,,,,,,,,,,
