type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX400EX (Yellow) 2001,,Right Tank,918,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Left Tank,919,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Top Tank,1069,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Dashboard Cover,1070,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Front Plate,1343,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Right Front Fender,906,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Left Front Fender,907,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Front Hood,1338,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Upper Right Shroud,910,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Upper Left Shroud,911,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Right Side Cover,914,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Left Side Cover,915,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Right Rear Fender,908,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Left Rear Fender,909,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2001,,Left Rear Fender,909,Designer Added Icon 1,,485.80668091598864,240.40888406038863,20.862575807916716,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Right Rear Fender,908,Designer Added Icon 1,,649.9763190840113,240.40888406038863,20.862575807916716,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2001,,Left Side Cover,915,Designer Added Icon 1,,400.0222604887816,171.2524031195262,5.170338026462757,-56,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Left Side Cover,915,User Number,,578.3006823755111,191.627079906581,,-55,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX (Yellow) 2001,,Right Side Cover,914,Designer Added Icon 1,,466.2647395112184,171.2524031195262,5.170338026462757,56,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2001,,Right Side Cover,914,User Number,,287.98631762448895,191.627079906581,,55,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX (Yellow) 2001,,Left Tank,919,Designer Added Icon 1,,866.7550945624258,515.0503780627037,11.340673056746748,-15,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Right Tank,918,Designer Added Icon 1,,906.4209054375741,515.0503780627037,11.340673056746748,15,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2001,,Left Front Fender,907,Designer Added Icon 1,,334.01033408482425,341.76823308866466,6.2,-23,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2001,,Right Front Fender,906,Designer Added Icon 1,,279.0306659151758,341.76823308866466,6.2,23,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Upper Left Shroud,911,Designer Added Icon 1,,1010.012855367535,441.86977581758975,17,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Upper Right Shroud,910,Designer Added Icon 1,,663.6711446324649,441.86977581758975,17,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2001,,Front Hood,1338,Designer Added Icon 1,,326.0406820998644,431.5015,11.459088934698327,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Dashboard Cover,1070,Designer Added Icon 1,,212.3044998064089,164.96024245588737,5,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,,Front Plate,1343,Designer Added Icon 1,,255.117,361.417,8.643280603115485,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Tank,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Plate,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2001,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
