type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX400EX (Yellow) 2002-2003,,Right Tank,918,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Tank,919,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Top Tank,1069,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Dashboard Cover,1070,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Front Plate,1343,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Right Front Fender,906,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Front Fender,907,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Front Hood,1338,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Upper Right Shroud,910,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Upper Left Shroud,911,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Right Side Cover,914,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Side Cover,915,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Right Rear Fender,908,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Rear Fender,909,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Rear Fender,909,Designer Added Icon 1,,498.00874447425025,201.58413637501036,15.599420542662346,-6,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Side Cover,915,Designer Added Icon 1,,382.19441830010857,186.5334107098173,5.220338026462757,-56,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Side Cover,915,User Number,,557.077060722329,192.47602477270829,,-53,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX (Yellow) 2002-2003,,Left Tank,919,Designer Added Icon 1,,885.5344930586664,486.0276712957864,9.140673056746717,-15,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Left Front Fender,907,Designer Added Icon 1,,337.1388769157526,337.59684264742685,6.3,-18,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2002-2003,,Upper Left Shroud,911,Designer Added Icon 1,,888.5586188146143,445.10855545900097,17,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Front Hood,1338,Designer Added Icon 1,,326.0406820998644,431.5015,9.834945897775368,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Front Plate,1343,Designer Added Icon 1,,255.117,361.417,11.748550518188061,0,4,Honda Red,8313,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Right Rear Fender,908,Designer Added Icon 1,,637.7742555257496,201.58413637501036,15.599420542662346,6,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2002-2003,,Right Side Cover,914,Designer Added Icon 1,,484.09258169989147,186.5334107098173,5.220338026462757,56,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2002-2003,,Right Side Cover,914,User Number,,309.2099392776711,192.47602477270829,,53,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX (Yellow) 2002-2003,,Right Tank,918,Designer Added Icon 1,,887.6415069413335,486.0276712957864,9.140673056746717,15,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2002-2003,,Right Front Fender,906,Designer Added Icon 1,,275.9021230842475,337.59684264742685,6.3,18,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,,Upper Right Shroud,910,Designer Added Icon 1,,785.1253811853857,445.10855545900097,17,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
TRX400EX (Yellow) 2002-2003,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX (Yellow) 2002-2003,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
