type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX400EX 2004,,Right Tank,918,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Left Tank,919,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Top Tank,1069,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Dashboard Cover,1070,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Front Plate,1343,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Right Front Fender,906,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Left Front Fender,907,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Front Hood,1338,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Upper Right Shroud,910,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Upper Left Shroud,911,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Right Side Cover,914,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Left Side Cover,915,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Right Rear Fender,908,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Left Rear Fender,909,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2004,,Left Rear Fender,909,Designer Added Icon 1,,530.1778211278494,222.66042797564427,24.1,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX400EX 2004,,Right Rear Fender,908,Designer Added Icon 1,,605.6051788721505,222.66042797564427,24.1,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX400EX 2004,,Left Side Cover,915,Designer Added Icon 1,,406.81381941779983,202.66336316623568,4.720338026462759,-57,6,Black,6984,,,,,,,,,,,,,,,,,,,
TRX400EX 2004,,Left Side Cover,915,User Number,,566.4154542497291,199.26758370172655,,-57,7,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX 2004,,Right Side Cover,914,Designer Added Icon 1,,459.4731805822002,202.66336316623568,4.720338026462759,57,6,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX400EX 2004,,Right Side Cover,914,User Number,,299.8715457502709,199.26758370172655,,57,7,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX 2004,,Left Tank,919,Designer Added Icon 1,,909.4355456902454,-268.5627046440633,2.79067305674672,30,5,Black,7310,,,,,,,,,,,,,,,,,1,,
TRX400EX 2004,,Left Tank,919,Designer Added Icon 2,,516.7753953143056,566.2669194160871,12.240673056746761,12,6,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX 2004,,Right Tank,918,Designer Added Icon 1,,863.7404543097546,-268.5627046440633,2.79067305674672,-30,5,Black,7310,,,,,,,,,,,,,,,,,,,
TRX400EX 2004,,Right Tank,918,Designer Added Icon 2,,1256.4006046856944,566.2669194160871,12.240673056746761,-12,6,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX 2004,,Left Front Fender,907,Designer Added Icon 1,,318.3676199301824,312.56850000000003,5.7,-16,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX 2004,,Right Front Fender,906,Designer Added Icon 1,,294.67338006981765,312.56850000000003,5.7,16,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX 2004,,Upper Left Shroud,911,Designer Added Icon 1,,877.222890069675,381.9523524514821,13.099999999999994,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
