type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX400EX 2005-2006,,Right Tank,918,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Left Tank,919,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Top Tank,1069,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Dashboard Cover,1070,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Front Plate,1343,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Right Front Fender,906,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Left Front Fender,907,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Front Hood,905,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Upper Right Shroud,910,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Upper Left Shroud,911,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Right Side Cover,914,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Left Side Cover,915,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Right Rear Fender,908,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Left Rear Fender,909,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400EX 2005-2006,,Left Rear Fender,909,Designer Added Icon 1,,557.9097837602625,209.349085912086,17.074792186111665,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Right Rear Fender,908,Designer Added Icon 1,,577.8732162397374,209.349085912086,17.074792186111665,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX400EX 2005-2006,,Left Side Cover,915,Designer Added Icon 1,,394.9285912920179,138.14355334056216,5.770338026462755,-58,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Left Side Cover,915,User Number,,581.6964618400202,195.87180423721742,,-54,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX 2005-2006,,Right Side Cover,914,Designer Added Icon 1,,471.3584087079821,138.14355334056216,5.770338026462755,58,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX400EX 2005-2006,,Right Side Cover,914,User Number,,284.5905381599798,195.87180423721742,,54,6,White,,,,,,,,,,,,1,left,112,Bold Italic 11,1,,,,
TRX400EX 2005-2006,,Left Tank,919,Designer Added Icon 1,,964.0665231338544,-374.4102234410558,3,20,5,Black,7310,,,,,,,,,,,,,,,,,1,,
TRX400EX 2005-2006,,Left Tank,919,Designer Added Icon 2,,573.1135908030274,615.7762427243578,12.699999999999998,0,6,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX 2005-2006,,Right Tank,918,Designer Added Icon 1,,809.1094768661455,-374.4102234410558,3,-20,5,Black,7310,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Right Tank,918,Designer Added Icon 2,,1200.0624091969726,615.7762427243578,12.699999999999998,0,6,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Left Front Fender,907,Designer Added Icon 1,,318.3676199301824,312.56850000000003,5.325398950780775,-20,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX400EX 2005-2006,,Right Front Fender,906,Designer Added Icon 1,,294.67338006981765,312.56850000000003,5.325398950780775,20,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Upper Left Shroud,911,Designer Added Icon 1,,865.8871613247358,419.1983183277112,13.2,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Upper Right Shroud,910,Designer Added Icon 1,,807.7968386752642,419.1983183277112,13.2,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
TRX400EX 2005-2006,,Front Hood,905,Designer Added Icon 1,,363.9750000000001,462.20699999999994,13.258960615641755,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,,Front Plate,1343,Designer Added Icon 1,,255.117,361.417,9.8592172537549,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX400EX 2005-2006,X,Front Plate,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
