type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX400X 2013-2014,,Right Tank,263,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Left Tank,264,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Rear Fender,610,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Right Front Fender,611,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Left Front Fender,612,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Front Hood,5,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Right Side Cover,2,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Left Side Cover,1,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Right Rear Fender,608,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Left Rear Fender,609,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX400X 2013-2014,,Left Rear Fender,609,Designer Added Icon 1,,-63.873712560515806,636.1643607717194,48.2,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX400X 2013-2014,,Right Rear Fender,608,Designer Added Icon 1,,1995.1917125605157,636.1643607717194,48.2,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX400X 2013-2014,,Left Side Cover,1,Designer Added Icon 1,,946.5790124059487,-332.6949538417521,11.924689324160154,12,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX400X 2013-2014,,Left Side Cover,1,User Number,,1188.5647768169763,166.40068525599233,,11,6,White,,,,,,,,,,,,1,left,234,Bold Italic 11,1,,,,
