type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX450ER 2007,,Right Tank,247,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Left Tank,248,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Front Plate,1386,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Right Front Fender,294,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Left Front Fender,295,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Front Hood,282,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Upper Right Shroud,67,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Upper Left Shroud,68,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Lower Right Shroud,9,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Lower Left Shroud,10,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Right Side Cover,11,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Left Side Cover,12,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Right Rear Fender,15,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Left Rear Fender,16,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450ER 2007,,Left Rear Fender,16,Designer Added Icon 1,,249.58549112737006,190.5671008090111,14.400000000000048,-9,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX450ER 2007,,Right Rear Fender,15,Designer Added Icon 1,,797.38350887263,190.5671008090111,14.400000000000048,9,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX450ER 2007,,Left Side Cover,12,Designer Added Icon 1,,789.8624744543239,-98.66055047918219,9.08514911892902,24,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX450ER 2007,,Left Side Cover,12,User Number,,770.7141372651972,239.62673986205553,,23,6,White,,,,,,,,,,,,1,left,153,Bold Italic 11,1,,,,
TRX450ER 2007,,Right Side Cover,11,Designer Added Icon 1,,443.26052554567616,-98.66055047918219,9.08514911892902,-24,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX450ER 2007,,Right Side Cover,11,User Number,,462.4088627348028,239.62673986205553,,-23,6,White,,,,,,,,,,,,1,left,153,Bold Italic 11,1,,,,
TRX450ER 2007,,Left Tank,248,Designer Added Icon 1,,625.7154261430163,-202.1465471154233,1.9988934930214508,40,5,Black,7310,,,,,,,,,,,,,,,,,1,,
TRX450ER 2007,,Left Tank,248,Designer Added Icon 2,,213.6265375754436,408.03848373092336,12.29889349302149,22,6,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX450ER 2007,,Right Tank,247,Designer Added Icon 1,,646.6385738569837,-202.1465471154233,1.9988934930214508,-40,5,Black,7310,,,,,,,,,,,,,,,,,,,
