type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX450R (White) 2012-2014,,Right Tank,564,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Left Tank,565,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Front Plate,1386,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Right Front Fender,294,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Left Front Fender,295,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Front Hood,282,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Upper Right Shroud,285,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Upper Left Shroud,286,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Lower Right Shroud,283,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Lower Left Shroud,284,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Right Side Cover,291,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Left Side Cover,292,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Right Rear Fender,296,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Left Rear Fender,297,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R (White) 2012-2014,,Left Rear Fender,297,Designer Added Icon 1,,789.3781170096013,178.10455128205115,16,6,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Right Rear Fender,296,Designer Added Icon 1,,808.9538829903988,178.10455128205115,16,-6,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Left Side Cover,292,Designer Added Icon 1,,695.6010303595618,-103.41586577445283,8.10344165051406,23,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Left Side Cover,292,Designer Added Text 1,,748.2313368951316,218.9447617559116,,22,6,White,,,,,,,,,,,,1,left,169,Bold Italic 11,1,123,,,
TRX450R (White) 2012-2014,,Right Side Cover,291,Designer Added Icon 1,,665.8639696404381,-103.41586577445283,8.10344165051406,-23,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Right Side Cover,291,Designer Added Text 1,,613.2336631048684,218.9447617559116,,-22,6,White,,,,,,,,,,,,1,left,169,Bold Italic 11,1,123,,,
TRX450R (White) 2012-2014,,Left Tank,565,Designer Added Icon 1,,845.8925463583643,-153.62585646357266,2.1462491840425684,57,5,Black,7310,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Left Tank,565,Designer Added Icon 2,,413.31699877307807,349.06495845009823,8.996249184042561,38,6,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Right Tank,564,Designer Added Icon 1,,334.2594536416358,-153.62585646357266,2.1462491840425684,-57,5,Black,7310,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Right Tank,564,Designer Added Icon 2,,766.835001226922,349.06495845009823,8.996249184042561,-38,6,Black,6981,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Lower Left Shroud,284,Designer Added Icon 1,,24.94962327967295,255.37294201086647,5.7038509710491985,96,3,Black,8441,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Lower Right Shroud,283,Designer Added Icon 1,,400.70237672032704,255.37294201086647,5.7038509710491985,-96,3,Black,8441,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Upper Left Shroud,286,Designer Added Icon 1,,742.2782961325738,-79.48940688826661,10.512761765749346,106,6,Black,8462,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Upper Right Shroud,285,Designer Added Icon 1,,736.1597038674263,-79.48940688826661,10.512761765749346,-106,6,Black,8462,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Left Front Fender,295,Designer Added Icon 1,,299.1128346759409,508.11475614940093,7.610510429312354,-35,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX450R (White) 2012-2014,,Right Front Fender,294,Designer Added Icon 1,,230.12516532405914,508.11475614940093,7.610510429312354,35,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Front Hood,282,Designer Added Icon 1,,355.25025551684485,410.9839813613612,13.019017490386224,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,,Front Plate,1386,Designer Added Icon 1,,346.6785,245.7655,10.467160703634729,0,4,Black,8313,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX450R (White) 2012-2014,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
