type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX450R 2006,,Right Tank,564,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Left Tank,565,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Front Plate,1386,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Right Front Fender,294,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Left Front Fender,295,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Front Hood,282,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Upper Right Shroud,285,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Upper Left Shroud,286,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Lower Right Shroud,283,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Lower Left Shroud,284,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Right Side Cover,291,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Left Side Cover,292,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Right Rear Fender,296,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Left Rear Fender,297,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2006,,Left Rear Fender,297,Designer Added Icon 1,,819.8134746344325,208.53990890688246,16,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX450R 2006,,Right Rear Fender,296,Designer Added Icon 1,,778.5185253655676,208.53990890688246,16,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
