type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX450R 2007-2008,,Right Tank,564,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Left Tank,565,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Front Plate,1386,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Right Front Fender,294,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Left Front Fender,295,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Front Hood,282,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Upper Right Shroud,285,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Upper Left Shroud,286,Background,,0,0,1,0,5,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Lower Right Shroud,283,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Lower Left Shroud,284,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Right Side Cover,291,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Left Side Cover,292,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Right Rear Fender,296,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Left Rear Fender,297,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX450R 2007-2008,,Left Rear Fender,297,Designer Added Icon 1,,780.2475097221519,223.75758771929813,16,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX450R 2007-2008,,Right Rear Fender,296,Designer Added Icon 1,,818.0844902778482,223.75758771929813,16,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX450R 2007-2008,,Left Side Cover,292,Designer Added Icon 1,,669.2858770917769,-100.78435044767434,8.05344165051406,23,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX450R 2007-2008,,Left Side Cover,292,User Number,,735.073760261239,218.9447617559116,,22,6,White,,,,,,,,,,,,1,left,149,Bold Italic 11,1,,,,
