type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX700XX (Black) 2011,,Right Front Fender,32,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Left Front Fender,33,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Front Hood,25,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Lower Right Shroud,29,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Lower Left Shroud,28,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Right Side Cover,26,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Left Side Cover,27,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Right Rear Fender,30,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Left Rear Fender,31,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX (Black) 2011,,Left Rear Fender,31,Designer Added Icon 1,,334.2769483095919,137.38967465800084,11.100000000000001,21,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,,Right Rear Fender,30,Designer Added Icon 1,,710.041051690408,137.38967465800084,11.100000000000001,-21,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX700XX (Black) 2011,,Left Side Cover,27,Designer Added Icon 1,,675.223190341146,223.4460157692295,8.366615176122444,60,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,,Left Side Cover,27,User Number,,665.8298097422637,417.5758814794639,,54,6,White,,,,,,,,,,,,1,left,157,Bold Italic 11,1,,,,
TRX700XX (Black) 2011,,Right Side Cover,26,Designer Added Icon 1,,246.25880965885392,223.4460157692295,8.366615176122444,-60,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX700XX (Black) 2011,,Right Side Cover,26,User Number,,255.65219025773627,417.5758814794639,,-54,6,White,,,,,,,,,,,,1,left,157,Bold Italic 11,1,,,,
TRX700XX (Black) 2011,,Left Front Fender,33,Designer Added Icon 1,,260.963671098764,462.63351002225636,6.192479806608062,-23,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX700XX (Black) 2011,,Right Front Fender,32,Designer Added Icon 1,,330.73132890123605,462.63351002225636,6.192479806608062,23,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,,Front Hood,25,Designer Added Icon 1,,735.9369233998214,677.2890000000001,18.012606951116805,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX (Black) 2011,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
