type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
TRX700XX 2011,,Right Front Fender,32,Background,,0,0,1,0,3,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Left Front Fender,33,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Front Hood,25,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Lower Right Shroud,29,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Lower Left Shroud,28,Background,,0,0,1,0,2,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Right Side Cover,26,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Left Side Cover,27,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Right Rear Fender,30,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Left Rear Fender,31,Background,,0,0,1,0,4,Honda Red,,,,,,,,,,1,0,,,,,,,,,
TRX700XX 2011,,Left Rear Fender,31,Designer Added Icon 1,,378.35299612142916,129.37584778312132,11,23,5,Black,8320,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,,Right Rear Fender,30,Designer Added Icon 1,,665.9650038785708,129.37584778312132,11,-23,5,Black,8320,,,,,,,,,,,,,,,,,1,,
TRX700XX 2011,,Left Side Cover,27,Designer Added Icon 1,,789.5093209608808,232.8393963681118,9.966615176122467,67,5,Black,6984,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,,Left Side Cover,27,User Number,,648.6086119776462,420.707008345758,,67,6,White,,,,,,,,,,,,1,left,167,Bold Italic 11,1,,,,
TRX700XX 2011,,Right Side Cover,26,Designer Added Icon 1,,131.97267903911916,232.8393963681118,9.966615176122467,-67,5,Black,6984,,,,,,,,,,,,,,,,,1,,
TRX700XX 2011,,Right Side Cover,26,User Number,,272.87338802235377,420.707008345758,,-67,6,White,,,,,,,,,,,,1,left,167,Bold Italic 11,1,,,,
TRX700XX 2011,,Lower Left Shroud,28,Designer Added Icon 1,,93.86947567995252,331.68382005051814,7.850748914959929,137,3,Black,8441,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,,Lower Right Shroud,29,Designer Added Icon 1,,428.1815243200475,331.68382005051814,7.850748914959929,-137,3,Black,8441,,,,,,,,,,,,,,,,,1,,
TRX700XX 2011,,Left Front Fender,33,Designer Added Icon 1,,282.6683420471333,455.3986197061333,6.64247980660806,-29,5,Black,6981,,,,,,,,,,,,,,,,,1,,
TRX700XX 2011,,Right Front Fender,32,Designer Added Icon 1,,309.02665795286674,455.3986197061333,6.64247980660806,29,5,Black,6981,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,,Front Hood,25,Designer Added Icon 1,,744.9757356443788,625.3158295937943,30.1,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRX700XX 2011,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
