type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
450 XC 2008-2013,,Right Tank,582,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Left Tank,583,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Rear Fender,668,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Dashboard Cover,351,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Right Front Fender,56,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Left Front Fender,57,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Front Hood,677,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Upper Right Shroud,335,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Upper Left Shroud,336,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Lower Right Shroud,54,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Lower Left Shroud,55,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Right Side Cover,58,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Left Side Cover,59,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Right Rear Fender,342,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Left Rear Fender,343,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
450 XC 2008-2013,,Left Rear Fender,343,Designer Added Icon 1,,809.8905,520.1074492868462,16.95,-19,5,KTM Orange,8320,,,,,,,,,,,,,,,,,,,
450 XC 2008-2013,,Right Rear Fender,342,Designer Added Icon 1,,809.8885,520.1074492868462,16.95,19,5,KTM Orange,8320,,,,,,,,,,,,,,,,,1,,
450 XC 2008-2013,,Rear Fender,668,Designer Added Icon 1,,204.64917206954107,160.20600000000002,7.049999999999993,0,3,KTM Orange,8314,,,,,,,,,,,,,,,,,,,
450 XC 2008-2013,,Left Side Cover,59,Designer Added Icon 1,,396.5726271278318,212.5640807143124,6.1,0,5,KTM Orange,6984,,,,,,,,,,,,,,,,,,,
450 XC 2008-2013,,Left Side Cover,59,User Number,,522.4131809688528,294.91561962498054,,0,6,White,,,,,,,,,,,,1,left,116,Bold Italic 11,1,,,,
450 XC 2008-2013,,Right Side Cover,58,Designer Added Icon 1,,453.94737287216816,212.5640807143124,6.1,0,5,KTM Orange,6984,,,,,,,,,,,,,,,,,1,,
450 XC 2008-2013,,Right Side Cover,58,User Number,,328.1068190311472,294.91561962498054,,0,6,White,,,,,,,,,,,,1,left,116,Bold Italic 11,1,,,,
450 XC 2008-2013,,Left Tank,583,Designer Added Icon 1,,330.8534369577791,307.6372978324483,6.109150427948324,0,5,KTM Orange,6981,,,,,,,,,,,,,,,,,1,,
450 XC 2008-2013,,Left Tank,583,Designer Added Icon 2,,422.1342447464816,-128.02110297726827,1.4091504279483384,19,6,KTM Orange,7310,,,,,,,,,,,,,,,,,1,,
