type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
505 SX 2009-2013,,Right Tank,582,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Left Tank,583,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Rear Fender,668,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Dashboard Cover,351,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Right Front Fender,56,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Left Front Fender,57,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Front Hood,339,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Upper Right Shroud,335,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Upper Left Shroud,336,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Lower Right Shroud,54,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Lower Left Shroud,55,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Right Side Cover,58,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Left Side Cover,59,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Right Rear Fender,342,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Left Rear Fender,343,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
505 SX 2009-2013,,Left Rear Fender,343,Designer Added Icon 1,,809.8905,509.02836846275744,17.150000000000002,-19,5,KTM Orange,8320,,,,,,,,,,,,,,,,,,,
505 SX 2009-2013,,Right Rear Fender,342,Designer Added Icon 1,,809.8885,509.02836846275744,17.150000000000002,19,5,KTM Orange,8320,,,,,,,,,,,,,,,,,1,,
505 SX 2009-2013,,Rear Fender,668,Designer Added Icon 1,,204.64917206954107,160.20600000000002,6.199999999999996,0,3,KTM Orange,8314,,,,,,,,,,,,,,,,,,,
505 SX 2009-2013,,Left Side Cover,59,Designer Added Icon 1,,390.0955397977793,273.6337612548079,5.2,0,5,KTM Orange,6984,,,,,,,,,,,,,,,,,,,
505 SX 2009-2013,,Left Side Cover,59,User Number,,530.7408646789204,289.3638304849355,,-36,6,White,,,,,,,,,,,,1,left,146,Bold Italic 11,1,,,,
505 SX 2009-2013,,Right Side Cover,58,Designer Added Icon 1,,460.4244602022207,273.6337612548079,5.2,0,5,KTM Orange,6984,,,,,,,,,,,,,,,,,1,,
505 SX 2009-2013,,Right Side Cover,58,User Number,,319.7791353210796,289.3638304849355,,36,6,White,,,,,,,,,,,,1,left,146,Bold Italic 11,1,,,,
