type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Right Tank,1102,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Left Tank,1103,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Right Front Fender,1106,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Left Front Fender,1107,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Left Tank,1103,Designer Added Icon 1,,1202.9481395565185,-397.94190183268296,4.100000000000005,48,5,Black,7310,,,,,,,,,,,,,,,,,1,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Left Tank,1103,Designer Added Icon 2,,362.185120122037,596.0852096862094,17.3,29,6,Black,6981,,,,,,,,,,,,,,,,,1,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Right Tank,1102,Designer Added Icon 1,,812.4908604434816,-397.94190183268296,4.100000000000005,-48,5,Black,7310,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Right Tank,1102,Designer Added Icon 2,,1653.253879877963,596.0852096862094,17.3,-29,6,Black,6981,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Left Front Fender,1107,Designer Added Icon 1,,655.630104053716,932.4835,11.446367708848568,-45,3,Black,6981,,,,,,,,,,,,,,,,,1,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,,Right Front Fender,1106,Designer Added Icon 1,,525.400895946284,932.4835,11.446367708848568,45,3,Black,6981,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTE FORCE 750 4x4i EPS CAMO 2014,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
