type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX400 (Orange) 2004-2006,,Right Tank,271,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Tank,272,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Right Front Fender,1183,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Front Fender,1184,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Front Hood,80,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Upper Right Shroud,76,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Upper Left Shroud,77,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Right Side Cover,81,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Side Cover,82,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Right Rear Fender,420,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Rear Fender,421,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Rear Fender,421,Designer Added Icon 1,,519.4384493629727,383.4438328323282,15,-20,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,,Right Rear Fender,420,Designer Added Icon 1,,922.5825506370272,383.4438328323282,15,20,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX400 (Orange) 2004-2006,,Left Side Cover,82,Designer Added Icon 1,,630.3894329216369,52.42769937326262,7.200000000000005,7,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Side Cover,82,User Number,,726.7552011884577,247.3493670038776,,6,6,White,,,,,,,,,,,,1,left,152,Bold Italic 11,1,,,,
KFX400 (Orange) 2004-2006,,Right Side Cover,81,Designer Added Icon 1,,503.80756707836304,52.42769937326262,7.200000000000005,-7,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX400 (Orange) 2004-2006,,Right Side Cover,81,User Number,,407.4417988115422,247.3493670038776,,-6,6,White,,,,,,,,,,,,1,left,152,Bold Italic 11,1,,,,
KFX400 (Orange) 2004-2006,,Left Tank,272,Designer Added Icon 1,,1098.2163191419102,-4.8096750269699875,2.0372690319883837,69,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX400 (Orange) 2004-2006,,Left Tank,272,Designer Added Icon 2,,454.97044709253134,330.0306419302408,11.587269031988413,51,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX400 (Orange) 2004-2006,,Right Tank,271,Designer Added Icon 1,,374.5746808580898,-4.8096750269699875,2.0372690319883837,-69,5,Black,7310,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,,Right Tank,271,Designer Added Icon 2,,1017.8205529074686,330.0306419302408,11.587269031988413,-51,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,,Left Front Fender,1184,Designer Added Icon 1,,307.7151126184948,502.71449507882227,6.714150205613054,-44,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX400 (Orange) 2004-2006,,Right Front Fender,1183,Designer Added Icon 1,,204.8708873815052,502.71449507882227,6.714150205613054,44,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,,Upper Left Shroud,77,Designer Added Icon 1,,509.5937651236991,300.95815751939205,7.299999999999999,-2,6,Black,8441,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,,Upper Right Shroud,76,Designer Added Icon 1,,483.1992348763009,300.95815751939205,7.299999999999999,2,6,Black,8441,,,,,,,,,,,,,,,,,1,,
KFX400 (Orange) 2004-2006,,Front Hood,80,Designer Added Icon 1,,192.10114347096555,146.12212086495893,5.79552040207699,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX400 (Orange) 2004-2006,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
