type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX450R 2011-2014,,Right Tank,265,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Left Tank,266,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Rear Fender,314,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Right Front Fender,50,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Left Front Fender,51,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Front Hood,43,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Upper Right Shroud,44,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Upper Left Shroud,45,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Lower Right Shroud,69,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Lower Left Shroud,70,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Right Side Cover,48,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Left Side Cover,49,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Right Rear Fender,52,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Left Rear Fender,53,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX450R 2011-2014,,Left Rear Fender,53,Designer Added Icon 1,,519.5019132507273,129.16073645975698,11,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX450R 2011-2014,,Right Rear Fender,52,Designer Added Icon 1,,550.4390867492727,129.16073645975698,11,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX450R 2011-2014,,Rear Fender,314,Designer Added Icon 1,,330.1951378395326,169.21140402503343,9.502981795881821,0,3,Black,8314,,,,,,,,,,,,,,,,,,,
