type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX50 2003-2006,,Right Tank,1214,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Left Tank,1215,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Right Front Fender,1210,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Left Front Fender,1211,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Front Hood,1208,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Right Rear Fender,1212,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Left Rear Fender,1213,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX50 2003-2006,,Left Rear Fender,1213,Designer Added Icon 1,,313.0065443825684,121.69994870724666,7,-6,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,,Right Rear Fender,1212,Designer Added Icon 1,,343.7634556174316,121.69994870724666,7,6,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX50 2003-2006,,Left Tank,1215,Designer Added Icon 1,,846.7977588961791,-315.0263073979708,2.6687875665062757,54,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX50 2003-2006,,Left Tank,1215,Designer Added Icon 2,,234.50583581925588,314.14584413470715,13.768787566506338,36,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX50 2003-2006,,Right Tank,1214,Designer Added Icon 1,,745.1652411038209,-315.0263073979708,2.6687875665062757,-54,5,Black,7310,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,,Right Tank,1214,Designer Added Icon 2,,1357.457164180744,314.14584413470715,13.768787566506338,-36,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,,Left Front Fender,1211,Designer Added Icon 1,,208.56441822688197,306.8488398546321,5.961486111486664,-73,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,,Right Front Fender,1210,Designer Added Icon 1,,208.00758177311803,306.8488398546321,5.961486111486664,73,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX50 2003-2006,,Front Hood,1208,Designer Added Icon 1,,528.6803614434434,578.9714388792048,16.202384480761065,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX50 2003-2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
