type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"KFX50 2007-2009,2011-2013,2015",,Right Tank,1398,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Tank,1399,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Right Front Fender,1395,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Front Fender,1396,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Front Hood,1397,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Upper Right Shroud,1387,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Upper Left Shroud,1388,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Right Side Cover,1391,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Side Cover,1392,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Right Rear Fender,1393,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Rear Fender,1394,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Rear Fender,1394,Designer Added Icon 1,,586.5246310023522,254.47835357410958,14,-11,5,Black,8320,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Right Rear Fender,1393,Designer Added Icon 1,,811.1803689976477,254.47835357410958,14,11,5,Black,8320,,,,,,,,,,,,,,,,,1,,
"KFX50 2007-2009,2011-2013,2015",,Left Side Cover,1392,Designer Added Icon 1,,319.83112410178643,32.49831694621166,7.189120458439126,-30,5,Black,6984,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Side Cover,1392,User Number,,475.2398863921277,270.79175245806823,,-27,6,White,,,,,,,,,,,,1,left,111,Bold Italic 11,1,,,,
"KFX50 2007-2009,2011-2013,2015",,Right Side Cover,1391,Designer Added Icon 1,,754.9738758982137,32.49831694621166,7.189120458439126,30,5,Black,6984,,,,,,,,,,,,,,,,,1,,
"KFX50 2007-2009,2011-2013,2015",,Right Side Cover,1391,User Number,,599.5651136078724,270.79175245806823,,27,6,White,,,,,,,,,,,,1,left,111,Bold Italic 11,1,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Tank,1399,Designer Added Icon 1,,893.4563230107962,-384.68472583201253,3.0456014826088302,54,5,Black,7310,,,,,,,,,,,,,,,,,1,,
"KFX50 2007-2009,2011-2013,2015",,Left Tank,1399,Designer Added Icon 2,,220.23399087300322,331.2366971390441,14.995601482608912,37,6,Black,6981,,,,,,,,,,,,,,,,,1,,
"KFX50 2007-2009,2011-2013,2015",,Right Tank,1398,Designer Added Icon 1,,537.5806769892039,-384.68472583201253,3.0456014826088302,-54,5,Black,7310,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Right Tank,1398,Designer Added Icon 2,,1210.8030091269968,331.2366971390441,14.995601482608912,-37,6,Black,6981,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Left Front Fender,1396,Designer Added Icon 1,,366.2052681624823,569.1313387750396,8.047695143623155,-43,6,Black,6981,,,,,,,,,,,,,,,,,1,,
"KFX50 2007-2009,2011-2013,2015",,Right Front Fender,1395,Designer Added Icon 1,,252.27373183751774,569.1313387750396,8.047695143623155,43,6,Black,6981,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Upper Left Shroud,1388,Designer Added Icon 1,,709.6552242915459,442.0422912087912,12.1,13,7,Black,8441,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",,Upper Right Shroud,1387,Designer Added Icon 1,,787.588775708454,442.0422912087912,12.1,-13,7,Black,8441,,,,,,,,,,,,,,,,,1,,
"KFX50 2007-2009,2011-2013,2015",,Front Hood,1397,Designer Added Icon 1,,308.77650000000006,393.4196357425034,13.091999999999997,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFX50 2007-2009,2011-2013,2015",X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
