type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 (Red) 2009,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (Red) 2009,,Left Rear Fender,860,Designer Added Icon 1,,1119.1535050290101,201.83802842904555,23,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 (Red) 2009,,Right Rear Fender,859,Designer Added Icon 1,,1093.5354949709897,201.83802842904555,23,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 (Red) 2009,,Left Side Cover,866,Designer Added Icon 1,,558.497885096512,70.30908113686891,6.725923926905565,8,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 (Red) 2009,,Left Side Cover,866,User Number,,773.7563061491437,236.64513376844786,,6,6,White,,,,,,,,,,,,1,left,221,Bold Italic 11,1,,,,
KFX700 (Red) 2009,,Right Side Cover,865,Designer Added Icon 1,,896.250114903488,70.30908113686891,6.725923926905565,-8,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX700 (Red) 2009,,Right Side Cover,865,User Number,,680.9916938508563,236.64513376844786,,-6,6,White,,,,,,,,,,,,1,left,221,Bold Italic 11,1,,,,
KFX700 (Red) 2009,,Left Tank,870,Designer Added Icon 1,,696.5308354741848,-346.3726512306329,2.6979237754687233,56,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX700 (Red) 2009,,Left Tank,870,Designer Added Icon 2,,128.44088635415798,297.8929956123065,13,38,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 (Red) 2009,,Right Tank,869,Designer Added Icon 1,,582.3231645258153,-346.3726512306329,2.6979237754687233,-56,5,Black,7310,,,,,,,,,,,,,,,,,,,
KFX700 (Red) 2009,,Right Tank,869,Designer Added Icon 2,,1150.413113645842,297.8929956123065,13,-38,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 (Red) 2009,,Left Front Fender,858,Designer Added Icon 1,,445.7968010806323,661.453019769889,10.01815465720317,-36,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 (Red) 2009,,Right Front Fender,857,Designer Added Icon 1,,378.50419891936775,661.453019769889,10.01815465720317,36,5,Black,6981,,,,,,,,,,,,,,,,,,,
