type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 (White) 2008,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 (White) 2008,,Left Rear Fender,860,Designer Added Icon 1,,1057.2984953895268,227.4332048315904,23,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 (White) 2008,,Right Rear Fender,859,Designer Added Icon 1,,1155.390504610473,227.4332048315904,23,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 (White) 2008,,Left Side Cover,866,Designer Added Icon 1,,585.0557422393692,33.96675030980124,7.1,8,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 (White) 2008,,Left Side Cover,866,User Number,,731.8228475025271,229.65622399401178,,8,6,White,,,,,,,,,,,,1,left,201,Bold Italic 11,1,,,,
KFX700 (White) 2008,,Right Side Cover,865,Designer Added Icon 1,,869.6922577606308,33.96675030980124,7.1,-8,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX700 (White) 2008,,Right Side Cover,865,User Number,,722.9251524974729,229.65622399401178,,-8,6,White,,,,,,,,,,,,1,left,201,Bold Italic 11,1,,,,
KFX700 (White) 2008,,Left Tank,870,Designer Added Icon 1,,910.8556799149221,-307.6392456088129,3.097923775468722,62,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX700 (White) 2008,,Left Tank,870,Designer Added Icon 2,,129.73199987488533,290.1463144879425,14.097923775468791,44,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 (White) 2008,,Right Tank,869,Designer Added Icon 1,,367.9983200850779,-307.6392456088129,3.097923775468722,-62,5,Black,7310,,,,,,,,,,,,,,,,,,,
KFX700 (White) 2008,,Right Tank,869,Designer Added Icon 2,,1149.1220001251147,290.1463144879425,14.097923775468791,-44,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 (White) 2008,,Left Front Fender,858,Designer Added Icon 1,,459.0346557807741,648.2151650697472,10.368154657203174,-38,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 (White) 2008,,Right Front Fender,857,Designer Added Icon 1,,365.26634421922597,648.2151650697472,10.368154657203174,38,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 (White) 2008,,Upper Left Shroud,862,Designer Added Icon 1,,398.0135266922277,377.023,8,58,6,Black,8441,,,,,,,,,,,,,,,,,,,
KFX700 (White) 2008,,Upper Right Shroud,861,Designer Added Icon 1,,407.8674733077723,377.023,8,-58,6,Black,8441,,,,,,,,,,,,,,,,,1,,
