type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 2005,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Rear Fender,1413,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 2005,,Left Rear Fender,860,Designer Added Icon 1,,1161.8121323665848,142.11595015644096,23,9,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 2005,,Right Rear Fender,859,Designer Added Icon 1,,1050.876867633415,142.11595015644096,23,-9,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 2005,,Left Side Cover,866,Designer Added Icon 1,,459.2553662995196,40.95566008423734,6.625923926905565,5,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 2005,,Left Side Cover,866,User Number,,703.8672084047828,222.6673142195757,,3,6,White,,,,,,,,,,,,1,left,191,Bold Italic 11,1,,,,
KFX700 2005,,Right Side Cover,865,Designer Added Icon 1,,995.4926337004804,40.95566008423734,6.625923926905565,-5,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX700 2005,,Right Side Cover,865,User Number,,750.8807915952173,222.6673142195757,,-3,6,White,,,,,,,,,,,,1,left,191,Bold Italic 11,1,,,,
KFX700 2005,,Left Tank,870,Designer Added Icon 1,,616.4817971890901,-206.93239099208094,2.247923775468725,60,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX700 2005,,Left Tank,870,Designer Added Icon 2,,22.569577654516646,275.9440657599418,11.8,42,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 2005,,Right Tank,869,Designer Added Icon 1,,662.3722028109099,-206.93239099208094,2.247923775468725,-60,5,Black,7310,,,,,,,,,,,,,,,,,,,
KFX700 2005,,Right Tank,869,Designer Added Icon 2,,1256.2844223454833,275.9440657599418,11.8,-42,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 2005,,Left Front Fender,858,Designer Added Icon 1,,478.8914378309868,661.453019769889,10.318154657203173,-28,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 2005,,Right Front Fender,857,Designer Added Icon 1,,345.40956216901327,661.453019769889,10.318154657203173,28,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 2005,,Upper Left Shroud,862,Designer Added Icon 1,,476.0032072327231,295.25962523980314,7.599999999999997,54,6,Black,8441,,,,,,,,,,,,,,,,,,,
KFX700 2005,,Upper Right Shroud,861,Designer Added Icon 1,,329.87779276727684,295.25962523980314,7.599999999999997,-54,6,Black,8441,,,,,,,,,,,,,,,,,1,,
KFX700 2005,,Front Hood,1126,Designer Added Icon 1,,368.426,683.1178271852933,12.788494011926222,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 2005,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
