type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 IG (Blue) 2006,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Rear Fender,860,Designer Added Icon 1,,1106.3559168277377,267.95890080228634,23,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,,Right Rear Fender,859,Designer Added Icon 1,,1106.3330831722621,267.95890080228634,23,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Blue) 2006,,Left Side Cover,866,Designer Added Icon 1,,557.1001031416249,17.193366851154625,7.425923926905562,13,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Side Cover,866,User Number,,682.9004790814745,250.62295331732005,,14,6,White,,,,,,,,,,,,1,left,181,Bold Italic 11,1,,,,
KFX700 IG (Blue) 2006,,Right Side Cover,865,Designer Added Icon 1,,897.6478968583751,17.193366851154625,7.425923926905562,-13,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Blue) 2006,,Right Side Cover,865,User Number,,771.8475209185256,250.62295331732005,,-14,6,White,,,,,,,,,,,,1,left,181,Bold Italic 11,1,,,,
KFX700 IG (Blue) 2006,,Left Tank,870,Designer Added Icon 1,,648.7596352072734,-284.39920223572096,2.447923775468724,55,6,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Blue) 2006,,Left Tank,870,Designer Added Icon 2,,45.80962102760865,266.9062711148505,12.747923775468772,37,7,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Blue) 2006,,Right Tank,869,Designer Added Icon 1,,630.0943647927267,-284.39920223572096,2.447923775468724,-55,6,Black,7310,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,,Right Tank,869,Designer Added Icon 2,,1233.0443789723913,266.9062711148505,12.747923775468772,-37,7,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,,Left Front Fender,858,Designer Added Icon 1,,412.7021643302777,661.453019769889,10.268154657203173,-38,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Blue) 2006,,Right Front Fender,857,Designer Added Icon 1,,411.59883566972235,661.453019769889,10.268154657203173,38,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,,Upper Left Shroud,862,Designer Added Icon 1,,398.0135266922277,377.023,8,59,6,Black,8441,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,,Upper Right Shroud,861,Designer Added Icon 1,,407.8674733077723,377.023,8,-59,6,Black,8441,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Blue) 2006,,Front Hood,1126,Designer Added Icon 1,,368.426,683.1178271852933,12.874503252403217,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Blue) 2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
