type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 IG (Red) 2005,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 IG (Red) 2005,,Left Rear Fender,860,Designer Added Icon 1,,1121.2864363958888,197.57216569528808,23,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,,Right Rear Fender,859,Designer Added Icon 1,,1091.402563604111,197.57216569528808,23,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Red) 2005,,Left Side Cover,866,Designer Added Icon 1,,498.3932610363617,133.20926910679373,5.12592392690557,15,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,,Left Side Cover,866,User Number,,738.8117572769632,208.6894946707035,,-3,6,White,,,,,,,,,,,,1,left,201,Bold Italic 11,1,,,,
KFX700 IG (Red) 2005,,Right Side Cover,865,Designer Added Icon 1,,956.3547389636383,133.20926910679373,5.12592392690557,-15,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Red) 2005,,Right Side Cover,865,User Number,,715.9362427230368,208.6894946707035,,3,6,White,,,,,,,,,,,,1,left,201,Bold Italic 11,1,,,,
KFX700 IG (Red) 2005,,Left Tank,870,Designer Added Icon 1,,164.59206493452334,284.98186040503316,13.29792377546878,38,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Red) 2005,,Left Tank,870,Designer Added Icon 2,,775.2887602385521,-268.90583998699293,2.447923775468724,57,6,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Red) 2005,,Right Tank,869,Designer Added Icon 1,,1114.2619350654768,284.98186040503316,13.29792377546878,-38,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,,Right Tank,869,Designer Added Icon 2,,503.56523976144797,-268.90583998699293,2.447923775468724,-57,6,Black,7310,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,,Left Front Fender,858,Designer Added Icon 1,,467.8598922475353,661.453019769889,11.168154657203186,-39,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Red) 2005,,Right Front Fender,857,Designer Added Icon 1,,356.44110775246475,661.453019769889,11.168154657203186,39,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,,Upper Left Shroud,862,Designer Added Icon 1,,398.0135266922277,377.023,11.513588414396365,62,6,Black,8441,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,,Upper Right Shroud,861,Designer Added Icon 1,,407.8674733077723,377.023,11.513588414396365,-62,6,Black,8441,,,,,,,,,,,,,,,,,1,,
KFX700 IG (Red) 2005,,Front Hood,1126,Designer Added Icon 1,,368.426,683.1178271852933,12.691040804153976,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX700 IG (Red) 2005,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
