type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
KFX700 V FORCE (Green) 2004,,Right Tank,869,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Tank,870,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Right Front Fender,857,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Front Fender,858,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Front Hood,1126,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Upper Right Shroud,861,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Upper Left Shroud,862,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Right Side Cover,865,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Side Cover,866,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Right Rear Fender,859,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Rear Fender,860,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Rear Fender,860,Designer Added Icon 1,,1127.685230496525,216.7685479971967,23,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Right Rear Fender,859,Designer Added Icon 1,,1085.0037695034748,216.7685479971967,23,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
KFX700 V FORCE (Green) 2004,,Left Side Cover,866,Designer Added Icon 1,,457.8575843446324,131.8114871519065,4.925923926905571,11,5,Black,6984,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Side Cover,866,User Number,,724.8339377280911,243.63404354288397,,5,6,White,,,,,,,,,,,,1,left,182,Bold Italic 11,1,,,,
KFX700 V FORCE (Green) 2004,,Right Side Cover,865,Designer Added Icon 1,,996.8904156553676,131.8114871519065,4.925923926905571,-11,5,Black,6984,,,,,,,,,,,,,,,,,1,,
KFX700 V FORCE (Green) 2004,,Right Side Cover,865,User Number,,729.914062271909,243.63404354288397,,-5,6,White,,,,,,,,,,,,1,left,182,Bold Italic 11,1,,,,
KFX700 V FORCE (Green) 2004,,Left Tank,870,Designer Added Icon 1,,678.4552461840021,-218.55241267862692,2.447923775468724,65,5,Black,7310,,,,,,,,,,,,,,,,,1,,
KFX700 V FORCE (Green) 2004,,Left Tank,870,Designer Added Icon 2,,-26.49273613312203,241.08400070030382,13.797923775468787,47,6,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 V FORCE (Green) 2004,,Right Tank,869,Designer Added Icon 1,,600.3987538159979,-218.55241267862692,2.447923775468724,-65,5,Black,7310,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Right Tank,869,Designer Added Icon 2,,1305.346736133122,241.08400070030382,13.797923775468787,-47,6,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Left Front Fender,858,Designer Added Icon 1,,412.7021643302777,661.453019769889,9,-28,5,Black,6981,,,,,,,,,,,,,,,,,1,,
KFX700 V FORCE (Green) 2004,,Right Front Fender,857,Designer Added Icon 1,,411.59883566972235,661.453019769889,9,28,5,Black,6981,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Front Hood,1126,Designer Added Icon 1,,368.426,683.1178271852933,12.898973447547412,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Upper Left Shroud,862,Designer Added Icon 1,,398.0135266922277,377.023,9.663588414396338,55,6,Black,8441,,,,,,,,,,,,,,,,,,,
KFX700 V FORCE (Green) 2004,,Upper Right Shroud,861,Designer Added Icon 1,,407.8674733077723,377.023,9.663588414396338,-55,6,Black,8441,,,,,,,,,,,,,,,,,1,,
KFX700 V FORCE (Green) 2004,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
