type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"MOJAVE 250 (White) 1987-1988,1999",,Right Tank,1422,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Tank,1423,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Top Tank,1426,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Right Front Fender,1424,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Front Fender,1425,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Front Hood,1427,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Upper Right Shroud,1420,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Upper Left Shroud,1421,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Right Rear Fender,1430,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Rear Fender,1431,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Rear Fender,1431,Designer Added Icon 1,,1007.6322884311822,247.39295266863957,20,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Right Rear Fender,1430,Designer Added Icon 1,,911.0237115688177,247.39295266863957,20,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Tank,1423,Designer Added Icon 1,,589.7157429913506,-397.5873651720073,3.2421649617912225,27,5,Black,7310,,,,,,,,,,,,,,,,,1,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Tank,1423,Designer Added Icon 2,,297.8062191818267,611.8050408430304,16,8,6,Black,6981,,,,,,,,,,,,,,,,,1,,
"MOJAVE 250 (White) 1987-1988,1999",,Right Tank,1422,Designer Added Icon 1,,1006.1162570086495,-397.5873651720073,3.2421649617912225,-27,5,Black,7310,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Right Tank,1422,Designer Added Icon 2,,1298.0257808181734,611.8050408430304,16,-8,6,Black,6981,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Left Front Fender,1425,Designer Added Icon 1,,334.8672661606471,530.2360482868908,9.600000000000016,-44,5,Black,6981,,,,,,,,,,,,,,,,,1,,
"MOJAVE 250 (White) 1987-1988,1999",,Right Front Fender,1424,Designer Added Icon 1,,262.2927338393529,530.2360482868908,9.600000000000016,44,5,Black,6981,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Upper Left Shroud,1421,Designer Added Icon 1,,1259.6171254540625,568.3457649945052,20,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",,Upper Right Shroud,1420,Designer Added Icon 1,,688.5898745459376,568.3457649945052,20,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
"MOJAVE 250 (White) 1987-1988,1999",,Front Hood,1427,Designer Added Icon 1,,225.16685137910386,160.09904485678976,7.797552778611071,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOJAVE 250 (White) 1987-1988,1999",X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
