type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
MOJAVE 250 2000-2004,,Right Tank,1422,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Left Tank,1423,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Top Tank,1426,Background,,0,0,1,0,2,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Right Front Fender,1424,Background,,0,0,1,0,3,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Left Front Fender,1425,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Front Hood,1427,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Upper Right Shroud,1420,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Upper Left Shroud,1421,Background,,0,0,1,0,5,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Right Rear Fender,1430,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Left Rear Fender,1431,Background,,0,0,1,0,4,Kawasaki Green,,,,,,,,,,1,0,,,,,,,,,
MOJAVE 250 2000-2004,,Left Rear Fender,1431,Designer Added Icon 1,,963.2389512420556,262.1907317316818,20,0,5,Black,8320,,,,,,,,,,,,,,,,,,,
MOJAVE 250 2000-2004,,Right Rear Fender,1430,Designer Added Icon 1,,955.4170487579444,262.1907317316818,20,0,5,Black,8320,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 2000-2004,,Left Tank,1423,Designer Added Icon 1,,520.579276825937,-360.7145832171201,2.9921649617912216,23,5,Black,7310,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 2000-2004,,Left Tank,1423,Designer Added Icon 2,,262.46980314172646,568.7867952289953,13.8,5,6,Black,6981,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 2000-2004,,Right Tank,1422,Designer Added Icon 1,,1075.2527231740632,-360.7145832171201,2.9921649617912216,-23,5,Black,7310,,,,,,,,,,,,,,,,,,,
MOJAVE 250 2000-2004,,Right Tank,1422,Designer Added Icon 2,,1333.3621968582736,568.7867952289953,13.8,-5,6,Black,6981,,,,,,,,,,,,,,,,,,,
MOJAVE 250 2000-2004,,Left Front Fender,1425,Designer Added Icon 1,,299.48599999999993,530.2360482868908,9.392936304169856,-40,5,Black,6981,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 2000-2004,,Right Front Fender,1424,Designer Added Icon 1,,297.67400000000004,530.2360482868908,9.392936304169856,40,5,Black,6981,,,,,,,,,,,,,,,,,,,
MOJAVE 250 2000-2004,,Upper Left Shroud,1421,Designer Added Icon 1,,1334.8490128648973,543.8954015859839,20,0,6,Black,8441,,,,,,,,,,,,,,,,,,,
MOJAVE 250 2000-2004,,Upper Right Shroud,1420,Designer Added Icon 1,,613.3579871351028,543.8954015859839,20,0,6,Black,8441,,,,,,,,,,,,,,,,,1,,
MOJAVE 250 2000-2004,,Front Hood,1427,Designer Added Icon 1,,225.16685137910386,160.09904485678976,7.1824889544693855,0,5,Black,8313,,,,,,,,,,,,,,,,,,,
MOJAVE 250 2000-2004,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
