type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FXR 150R 2010-2012,,Right Tank,855,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Left Tank,856,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Rear Fender,848,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Right Front Fender,846,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Left Front Fender,847,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Front Hood,845,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Right Side Cover,853,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Left Side Cover,854,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Right Rear Fender,849,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Left Rear Fender,850,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 150R 2010-2012,,Left Rear Fender,850,Designer Added Icon 1,,570.9227790484466,181.93260784956217,16,0,5,White,8320,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,,Right Rear Fender,849,Designer Added Icon 1,,1006.8972209515533,181.93260784956217,16,0,5,White,8320,,,,,,,,,,,,,,,,,1,,
FXR 150R 2010-2012,,Rear Fender,848,Designer Added Icon 1,,350.5670694797753,222.90400000000005,9.65339037392896,0,3,White,8314,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,,Left Side Cover,854,Designer Added Icon 1,,459.4903434547909,-116.52091415510588,7.396332878266558,15,5,White,6984,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,,Left Side Cover,854,User Number,,471.504209851552,159.79801297040018,,13,6,White,,,,,,,,,,,,1,left,136,Bold Italic 11,1,,,,
FXR 150R 2010-2012,,Right Side Cover,853,Designer Added Icon 1,,371.3946565452091,-116.52091415510588,7.396332878266558,-15,5,White,6984,,,,,,,,,,,,,,,,,1,,
FXR 150R 2010-2012,,Right Side Cover,853,User Number,,359.380790148448,159.79801297040018,,-13,6,White,,,,,,,,,,,,1,left,136,Bold Italic 11,1,,,,
FXR 150R 2010-2012,,Left Tank,856,Designer Added Icon 1,,1208.4318069634855,353.8946455675008,9.9,28,5,White,6981,,,,,,,,,,,,,,,,,1,,
FXR 150R 2010-2012,,Left Tank,856,Designer Added Icon 2,,1809.295832411722,-490.2944810953102,3.6540233355791054,46,6,White,7310,,,,,,,,,,,,,,,,,1,,
FXR 150R 2010-2012,,Right Tank,855,Designer Added Icon 1,,1368.2851930365146,353.8946455675008,9.9,-28,5,White,6981,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,,Right Tank,855,Designer Added Icon 2,,767.4211675882782,-490.2944810953102,3.6540233355791054,-46,6,White,7310,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,,Left Front Fender,847,Designer Added Icon 1,,264.1724548996515,640.3417870015958,8.934200551404329,122,5,White,6981,,,,,,,,,,,,,,,,,1,,
FXR 150R 2010-2012,,Right Front Fender,846,Designer Added Icon 1,,430.48954510034855,640.3417870015958,8.934200551404329,-122,5,White,6981,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,,Front Hood,845,Designer Added Icon 1,,317.1813497483368,470.21187120512167,10.665190345852814,0,5,White,8313,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 150R 2010-2012,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
