type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
FXR 90R 2010,,Right Tank,855,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Left Tank,856,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Rear Fender,848,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Right Front Fender,846,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Left Front Fender,847,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Front Hood,845,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Right Side Cover,853,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Left Side Cover,854,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Right Rear Fender,849,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Left Rear Fender,850,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
FXR 90R 2010,,Left Rear Fender,850,Designer Added Icon 1,,584.599508371755,188.01115421547695,16,0,5,White,8320,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,,Right Rear Fender,849,Designer Added Icon 1,,993.220491628245,188.01115421547695,16,0,5,White,8320,,,,,,,,,,,,,,,,,1,,
FXR 90R 2010,,Rear Fender,848,Designer Added Icon 1,,350.5670694797753,222.90400000000005,9.65339037392896,0,3,White,8314,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,,Left Side Cover,854,Designer Added Icon 1,,415.43950000000007,-84.4839370970762,6.396332878266562,16,5,White,6984,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,,Left Side Cover,854,User Number,,483.51807624831315,163.8026351026539,,16,6,White,,,,,,,,,,,,1,left,116,Bold Italic 11,1,,,,
FXR 90R 2010,,Right Side Cover,853,Designer Added Icon 1,,415.4454999999999,-84.4839370970762,6.396332878266562,-16,5,White,6984,,,,,,,,,,,,,,,,,1,,
FXR 90R 2010,,Right Side Cover,853,User Number,,347.36692375168684,163.8026351026539,,-16,6,White,,,,,,,,,,,,1,left,116,Bold Italic 11,1,,,,
FXR 90R 2010,,Left Tank,856,Designer Added Icon 1,,1128.9787126893386,413.48446627311097,11.954023335579148,24,5,White,6981,,,,,,,,,,,,,,,,,1,,
FXR 90R 2010,,Left Tank,856,Designer Added Icon 2,,1623.0776427066899,-336.35411093915053,2.8540233355791096,43,6,White,7310,,,,,,,,,,,,,,,,,1,,
FXR 90R 2010,,Right Tank,855,Designer Added Icon 1,,1447.7382873106615,413.48446627311097,11.954023335579148,-24,5,White,6981,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,,Right Tank,855,Designer Added Icon 2,,953.6393572933102,-336.35411093915053,2.8540233355791096,-43,6,White,7310,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,,Left Front Fender,847,Designer Added Icon 1,,418.8844242048479,596.138367200111,6.68420055140432,-65,5,White,6981,,,,,,,,,,,,,,,,,1,,
FXR 90R 2010,,Right Front Fender,846,Designer Added Icon 1,,275.77757579515213,596.138367200111,6.68420055140432,65,5,White,6981,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,,Front Hood,845,Designer Added Icon 1,,317.1813497483368,470.21187120512167,10.665190345852814,0,5,White,8313,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXR 90R 2010,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
