type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 450 MXR 2009-2010,,Right Tank,1150,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Left Tank,1151,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Rear Fender,1147,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Top Tank,1146,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Right Front Fender,1141,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Left Front Fender,1142,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Front Hood,1143,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Upper Right Shroud,1137,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Upper Left Shroud,1138,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Lower Right Shroud,1133,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Lower Left Shroud,1134,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Right Side Cover,1139,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Left Side Cover,1140,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Right Rear Fender,1148,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Left Rear Fender,1149,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Under Right Front Fender,1144,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 450 MXR 2009-2010,,Under Left Front Fender,1145,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
