type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 500 IRS (Black) 2006,,Right Tank,939,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Left Tank,940,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Front Hood,938,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Upper Right Shroud,947,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Upper Left Shroud,948,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Lower Right Shroud,945,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Lower Left Shroud,946,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Right Side Cover,941,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Left Side Cover,942,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Right Rear Fender,1587,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Left Rear Fender,1588,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Left Rear Fender,1588,Designer Added Icon 1,,131.31956892230576,336.6385175438597,40.1,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Right Rear Fender,1587,Designer Added Icon 1,,1742.5694310776942,336.6385175438597,40.1,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (Black) 2006,,Left Side Cover,942,Designer Added Icon 1,,143.94204918388638,101.89682761695867,5.5,-26,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Left Side Cover,942,User Number,,361.10829324093874,194.0972329885493,,-25,6,White,,,,,,,,,,,,1,left,128,Bold Italic 11,1,,,,
Outlaw 500 IRS (Black) 2006,,Right Side Cover,941,Designer Added Icon 1,,595.4119508161136,101.89682761695867,5.5,26,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (Black) 2006,,Right Side Cover,941,User Number,,378.2457067590613,194.0972329885493,,25,6,White,,,,,,,,,,,,1,left,128,Bold Italic 11,1,,,,
Outlaw 500 IRS (Black) 2006,,Lower Left Shroud,946,Designer Added Icon 1,,299.3777580893369,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Lower Right Shroud,945,Designer Added Icon 1,,206.71024191066311,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (Black) 2006,,Left Tank,940,Designer Added Icon 1,,343.15257852467033,830.6859863347656,14.753008586733472,26,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (Black) 2006,,Left Tank,940,Designer Added Icon 2,,1012.876583862897,-101.423040272958,3.753008586733391,45,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (Black) 2006,,Right Tank,939,Designer Added Icon 1,,1484.8024214753295,830.6859863347656,14.753008586733472,-26,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Right Tank,939,Designer Added Icon 2,,815.078416137103,-101.423040272958,3.753008586733391,-45,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,,Front Hood,938,Designer Added Icon 1,,594.4985813510967,573.3971263558199,17.32894921628289,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (Black) 2006,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
