type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 500 IRS (White) 2007,,Right Tank,939,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Left Tank,940,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Right Front Fender,943,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Left Front Fender,944,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Front Hood,938,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Upper Right Shroud,947,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Upper Left Shroud,948,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Lower Right Shroud,945,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Lower Left Shroud,946,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Right Side Cover,941,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Left Side Cover,942,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Right Rear Fender,1587,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Left Rear Fender,1588,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Left Rear Fender,1588,Designer Added Icon 1,,693.0876766917294,296.8992944862156,22.78930213808128,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Right Rear Fender,1587,Designer Added Icon 1,,1180.8013233082706,296.8992944862156,22.78930213808128,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (White) 2007,,Left Side Cover,942,Designer Added Icon 1,,181.27940342527432,81.32318344313268,5.463219837586191,-26,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Left Side Cover,942,User Number,,372.53809555973095,186.47736477602118,,-24,6,White,,,,,,,,,,,,1,left,148,Bold Italic 11,1,,,,
Outlaw 500 IRS (White) 2007,,Right Side Cover,941,Designer Added Icon 1,,558.0745965747258,81.32318344313268,5.463219837586191,26,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (White) 2007,,Right Side Cover,941,User Number,,366.8159044402691,186.47736477602118,,24,6,White,,,,,,,,,,,,1,left,148,Bold Italic 11,1,,,,
Outlaw 500 IRS (White) 2007,,Left Tank,940,Designer Added Icon 1,,231.22610092019957,738.9429719048716,11.253008586733422,27,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (White) 2007,,Left Tank,940,Designer Added Icon 2,,911.9592679900135,-248.2118633607885,4.253008586733389,46,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (White) 2007,,Right Tank,939,Designer Added Icon 1,,1596.7288990798004,738.9429719048716,11.253008586733422,-27,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Right Tank,939,Designer Added Icon 2,,915.9957320099865,-248.2118633607885,4.253008586733389,-46,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Lower Left Shroud,946,Designer Added Icon 1,,299.3777580893369,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Lower Right Shroud,945,Designer Added Icon 1,,206.71024191066311,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (White) 2007,,Left Front Fender,944,Designer Added Icon 1,,423.28307239753053,394.95215020791665,8.051844113190242,-33,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 500 IRS (White) 2007,,Right Front Fender,943,Designer Added Icon 1,,235.66992760246944,394.95215020791665,8.051844113190242,33,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,,Front Hood,938,Designer Added Icon 1,,594.4985813510967,573.3971263558199,15.850000000000055,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 500 IRS (White) 2007,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
