type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 525 IRS 2008,,Right Tank,939,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Left Tank,940,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Right Front Fender,943,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Left Front Fender,944,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Upper Right Shroud,947,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Upper Left Shroud,948,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Lower Right Shroud,945,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Lower Left Shroud,946,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Right Side Cover,941,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Left Side Cover,942,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Right Rear Fender,1587,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Left Rear Fender,1588,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 IRS 2008,,Left Rear Fender,1588,Designer Added Icon 1,,772.5661228070176,305.9309360902256,23.69687422360453,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,,Right Rear Fender,1587,Designer Added Icon 1,,1101.3228771929823,305.9309360902256,23.69687422360453,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Outlaw 525 IRS 2008,,Left Side Cover,942,Designer Added Icon 1,,182.04139024652716,106.46874854447557,5.0632198375861925,-27,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,,Left Side Cover,942,User Number,,387.77783198478727,186.47736477602118,,-26,6,White,,,,,,,,,,,,1,left,128,Bold Italic 11,1,,,,
Outlaw 525 IRS 2008,,Right Side Cover,941,Designer Added Icon 1,,557.3126097534729,106.46874854447557,5.0632198375861925,27,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Outlaw 525 IRS 2008,,Right Side Cover,941,User Number,,351.5761680152128,186.47736477602118,,26,6,White,,,,,,,,,,,,1,left,128,Bold Italic 11,1,,,,
Outlaw 525 IRS 2008,,Left Tank,940,Designer Added Icon 1,,322.96911535009366,775.6401776768292,12.253008586733436,27,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 525 IRS 2008,,Left Tank,940,Designer Added Icon 2,,1022.0508853058864,-239.03756191779908,4.353008586733389,46,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Outlaw 525 IRS 2008,,Right Tank,939,Designer Added Icon 1,,1504.9858846499062,775.6401776768292,12.253008586733436,-27,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,,Right Tank,939,Designer Added Icon 2,,805.9041146941136,-239.03756191779908,4.353008586733389,-46,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,,Lower Left Shroud,946,Designer Added Icon 1,,299.3777580893369,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,,Lower Right Shroud,945,Designer Added Icon 1,,206.71024191066311,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Outlaw 525 IRS 2008,,Left Front Fender,944,Designer Added Icon 1,,429.98341437767897,388.25180822776815,6.951844113190244,-40,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 525 IRS 2008,,Right Front Fender,943,Designer Added Icon 1,,228.969585622321,388.25180822776815,6.951844113190244,40,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 IRS 2008,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
