type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 525 S 2008,,Right Tank,939,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Left Tank,940,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Right Front Fender,943,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Left Front Fender,944,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Upper Right Shroud,947,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Upper Left Shroud,948,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Lower Right Shroud,945,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Lower Left Shroud,946,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Right Side Cover,941,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Left Side Cover,942,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Right Rear Fender,1587,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Left Rear Fender,1588,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2008,,Left Rear Fender,1588,Designer Added Icon 1,,642.5104837092732,311.3499210526316,23.69687422360453,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,,Right Rear Fender,1587,Designer Added Icon 1,,1231.3785162907266,311.3499210526316,23.69687422360453,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2008,,Left Side Cover,942,Designer Added Icon 1,,162.99171971520678,114.08861675700372,5.0632198375861925,-27,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,,Left Side Cover,942,User Number,,372.53809555973095,190.28729888228523,,-26,6,White,,,,,,,,,,,,1,left,128,Bold Italic 11,1,,,,
Outlaw 525 S 2008,,Right Side Cover,941,Designer Added Icon 1,,576.3622802847933,114.08861675700372,5.0632198375861925,27,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2008,,Right Side Cover,941,User Number,,366.8159044402691,190.28729888228523,,26,6,White,,,,,,,,,,,,1,left,128,Bold Italic 11,1,,,,
Outlaw 525 S 2008,,Left Tank,940,Designer Added Icon 1,,346.8222991018661,803.1630820057974,11.303008586733423,22,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2008,,Left Tank,940,Designer Added Icon 2,,939.4821723189817,-220.68895903182027,4.2030085867333895,41,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2008,,Right Tank,939,Designer Added Icon 1,,1481.1327008981339,803.1630820057974,11.303008586733423,-22,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,,Right Tank,939,Designer Added Icon 2,,888.4728276810182,-220.68895903182027,4.2030085867333895,-41,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,,Lower Left Shroud,946,Designer Added Icon 1,,299.3777580893369,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,,Lower Right Shroud,945,Designer Added Icon 1,,206.71024191066311,395.92285898584083,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2008,,Left Front Fender,944,Designer Added Icon 1,,423.28307239753053,388.25180822776815,6.051844113190247,-39,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2008,,Right Front Fender,943,Designer Added Icon 1,,235.66992760246944,388.25180822776815,6.051844113190247,39,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2008,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
