type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 525 S 2009-2010,,Right Tank,1150,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Tank,1151,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Rear Fender,1147,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Top Tank,1146,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Right Front Fender,1141,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Front Fender,1142,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Front Hood,1143,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Upper Right Shroud,1137,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Upper Left Shroud,1138,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Lower Right Shroud,1133,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Lower Left Shroud,1134,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Right Side Cover,1139,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Side Cover,1140,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Right Rear Fender,1148,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Rear Fender,1149,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Under Right Front Fender,1144,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Under Left Front Fender,1145,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Rear Fender,1149,Designer Added Icon 1,,924.6151616299685,279.9011099444519,23.450000000000063,-5,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Right Rear Fender,1148,Designer Added Icon 1,,924.6118383700316,279.9011099444519,23.450000000000063,5,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2009-2010,,Rear Fender,1147,Designer Added Icon 1,,257.92413908226666,131.08782704592986,6.9999999999999964,0,3,Light Navy Blue,8314,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Side Cover,1140,Designer Added Icon 1,,622.2700587592568,-45.02873597846976,7.143239329018794,25,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Left Side Cover,1140,User Number,,752.9649883910286,216.3611232850737,,26,6,White,,,,,,,,,,,,1,left,194,Bold Italic 11,1,,,,
Outlaw 525 S 2009-2010,,Right Side Cover,1139,Designer Added Icon 1,,610.3259412407432,-45.02873597846976,7.143239329018794,-25,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2009-2010,,Right Side Cover,1139,User Number,,479.63101160897145,216.3611232850737,,-26,6,White,,,,,,,,,,,,1,left,194,Bold Italic 11,1,,,,
Outlaw 525 S 2009-2010,,Left Tank,1151,Designer Added Icon 1,,181.32379694583088,360.3354236714665,8.910355321549543,12,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2009-2010,,Left Tank,1151,Designer Added Icon 2,,459.83932784915896,-381.39541126055457,2.710355321549548,31,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2009-2010,,Right Tank,1150,Designer Added Icon 1,,738.5182030541691,360.3354236714665,8.910355321549543,-12,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Right Tank,1150,Designer Added Icon 2,,460.002672150841,-381.39541126055457,2.710355321549548,-31,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Lower Left Shroud,1134,Designer Added Icon 1,,851.5538964460111,738.9811050483302,19,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Lower Right Shroud,1133,Designer Added Icon 1,,1022.2581035539888,738.9811050483302,19,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2009-2010,,Left Front Fender,1142,Designer Added Icon 1,,464.0221111914707,373.14390536022097,7.490450625027722,-38,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 525 S 2009-2010,,Right Front Fender,1141,Designer Added Icon 1,,228.42688880852927,373.14390536022097,7.490450625027722,38,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,,Front Hood,1143,Designer Added Icon 1,,491.31399349548667,534.4332241401964,13.532831136974034,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 525 S 2009-2010,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
