type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Outlaw 90 (Blue) 2011,,Right Front Fender,1797,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Left Front Fender,1802,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Front Hood,1795,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Lower Right Shroud,1803,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Lower Left Shroud,1800,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Right Side Cover,1799,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Left Side Cover,1796,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Outlaw 90 (Blue) 2011,,Left Side Cover,1796,Designer Added Icon 1,,553.9552896739722,-102.0422124356835,15,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,,Left Side Cover,1796,User Number,,581.0830513859444,363.19890092464044,,0,6,White,,,,,,,,,,,,1,left,209,Bold Italic 11,1,,,,
Outlaw 90 (Blue) 2011,,Right Side Cover,1799,Designer Added Icon 1,,853.1617103260278,-102.0422124356835,15,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Outlaw 90 (Blue) 2011,,Right Side Cover,1799,User Number,,826.0339486140556,363.19890092464044,,0,6,White,,,,,,,,,,,,1,left,209,Bold Italic 11,1,,,,
Outlaw 90 (Blue) 2011,,Lower Left Shroud,1800,Designer Added Icon 1,,251.49457525859538,328.1185,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,,Lower Right Shroud,1803,Designer Added Icon 1,,251.49542474140463,328.1185,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Outlaw 90 (Blue) 2011,,Front Hood,1795,Designer Added Icon 1,,626.0987252058687,485.8723324208307,15.027172459264,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,,Left Front Fender,1802,Designer Added Icon 1,,435.05687294329863,371.13449999999983,8.4480761893215,-32,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Outlaw 90 (Blue) 2011,,Right Front Fender,1797,Designer Added Icon 1,,199.79012705670135,371.13449999999983,8.4480761893215,32,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlaw 90 (Blue) 2011,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
