type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
"Outlaw 90 2012,2014-2015",,Right Front Fender,1797,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Left Front Fender,1802,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Front Hood,1795,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Lower Right Shroud,1803,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Lower Left Shroud,1800,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Right Side Cover,1799,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Left Side Cover,1796,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Left Side Cover,1796,Designer Added Icon 1,,594.6469322419305,105.48516466090415,10.760260345105465,3,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Left Side Cover,1796,User Number,,655.684396093868,390.32666263661264,,0,6,White,,,,,,,,,,,,1,left,169,Bold Italic 11,1,,,,
"Outlaw 90 2012,2014-2015",,Right Side Cover,1799,Designer Added Icon 1,,812.4700677580695,105.48516466090415,10.760260345105465,-3,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
"Outlaw 90 2012,2014-2015",,Right Side Cover,1799,User Number,,751.4326039061319,390.32666263661264,,0,6,White,,,,,,,,,,,,1,left,169,Bold Italic 11,1,,,,
"Outlaw 90 2012,2014-2015",,Lower Left Shroud,1800,Designer Added Icon 1,,251.49457525859538,328.1185,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Lower Right Shroud,1803,Designer Added Icon 1,,251.49542474140463,328.1185,6,0,3,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
"Outlaw 90 2012,2014-2015",,Front Hood,1795,Designer Added Icon 1,,626.0987252058687,485.8723324208307,17.356021537497412,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",,Left Front Fender,1802,Designer Added Icon 1,,404.100621379365,371.13449999999983,8.148076189321495,-23,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
"Outlaw 90 2012,2014-2015",,Right Front Fender,1797,Designer Added Icon 1,,230.74637862063497,371.13449999999983,8.148076189321495,23,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outlaw 90 2012,2014-2015",X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
