type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Phoenix 200 2011,,Right Tank,1827,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Left Tank,1828,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Dashboard Cover,1824,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Right Front Fender,1825,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Left Front Fender,1826,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Front Hood,1822,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Upper Right Shroud,1829,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Upper Left Shroud,1830,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Right Side Cover,1831,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Left Side Cover,1832,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Right Rear Fender,1833,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Left Rear Fender,1834,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2011,,Left Rear Fender,1834,Designer Added Icon 1,,1000.5354999999998,256.56974113499916,21.05,8,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Phoenix 200 2011,,Right Rear Fender,1833,Designer Added Icon 1,,1000.5355000000001,256.56974113499916,21.05,-8,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Phoenix 200 2011,,Left Side Cover,1832,Designer Added Icon 1,,500.01332812801246,7.27009514170035,10,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Phoenix 200 2011,,Left Side Cover,1832,User Number,,574.7557042606518,242.89860294968184,,-34,6,White,,,,,,,,,,,,1,left,170,Bold Italic 11,1,,,,
Phoenix 200 2011,,Right Side Cover,1831,Designer Added Icon 1,,814.1856718719876,7.27009514170035,10,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Phoenix 200 2011,,Right Side Cover,1831,User Number,,739.4432957393483,242.89860294968184,,34,6,White,,,,,,,,,,,,1,left,170,Bold Italic 11,1,,,,
Phoenix 200 2011,,Left Tank,1828,Designer Added Icon 1,,197.99388534462926,386.9663128952187,8.9900133604041,19,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Phoenix 200 2011,,Left Tank,1828,Designer Added Icon 2,,525.2613805485662,-196.6607202184688,2.140013360404108,38,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
