type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Phoenix 200 2012-2016,,Right Tank,1827,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Left Tank,1828,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Dashboard Cover,1824,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Right Front Fender,1825,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Left Front Fender,1826,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Front Hood,1822,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Upper Right Shroud,1829,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Upper Left Shroud,1830,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Right Side Cover,1831,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Left Side Cover,1832,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Right Rear Fender,1833,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Left Rear Fender,1834,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Phoenix 200 2012-2016,,Left Rear Fender,1834,Designer Added Icon 1,,1000.5354999999998,189.05722426590333,21.350000000000005,10,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Phoenix 200 2012-2016,,Right Rear Fender,1833,Designer Added Icon 1,,1000.5355000000001,189.05722426590333,21.350000000000005,-10,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Phoenix 200 2012-2016,,Left Side Cover,1832,Designer Added Icon 1,,498.74650819356094,-4.131284268363272,10.8,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Phoenix 200 2012-2016,,Left Side Cover,1832,Designer Added Text 1,,574.7557042606518,230.2304036051667,,-30,6,White,,,,,,,,,,,,1,left,170,Bold Italic 11,1,123,,,
Phoenix 200 2012-2016,,Right Side Cover,1831,Designer Added Icon 1,,815.4524918064392,-4.131284268363272,10.8,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Phoenix 200 2012-2016,,Right Side Cover,1831,User Number,,739.4432957393483,230.2304036051667,,30,6,White,,,,,,,,,,,,1,left,170,Bold Italic 11,1,,,,
Phoenix 200 2012-2016,,Left Tank,1828,Designer Added Icon 1,,132.54038630384187,350.9668884227857,8.540013360404094,22,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Phoenix 200 2012-2016,,Left Tank,1828,Designer Added Icon 2,,497.98908928157147,-283.932052272852,2.490013360404107,41,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
