type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Predator 500 2005-2006,,Right Tank,969,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Left Tank,970,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Front Plate,968,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Right Front Fender,1455,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Left Front Fender,1456,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Front Hood,1448,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Upper Right Shroud,963,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Upper Left Shroud,964,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Right Rear Fender,1453,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Left Rear Fender,1454,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2005-2006,,Left Rear Fender,1454,Designer Added Icon 1,,927.7533545443698,411.41324605372574,21.20000000000003,-9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,,Right Rear Fender,1453,Designer Added Icon 1,,927.7546454556302,411.41324605372574,21.20000000000003,9,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Predator 500 2005-2006,,Left Tank,970,Designer Added Icon 1,,313.44321186268627,438.6074562360599,8.512630464557123,22,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Predator 500 2005-2006,,Left Tank,970,Designer Added Icon 2,,746.4436038887103,-296.9000589862273,3.012630464557134,41,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Predator 500 2005-2006,,Right Tank,969,Designer Added Icon 1,,894.6837881373137,438.6074562360599,8.512630464557123,-22,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,,Right Tank,969,Designer Added Icon 2,,461.68339611128965,-296.9000589862273,3.012630464557134,-41,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,,Left Front Fender,1456,Designer Added Icon 1,,448.1832915589289,361.542544548039,7.5034618753793,93,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,,Right Front Fender,1455,Designer Added Icon 1,,264.94370844107107,361.542544548039,7.5034618753793,-93,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Predator 500 2005-2006,,Front Hood,1448,Designer Added Icon 1,,773.7434999999999,640.9174283293753,20.76589405688313,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,,Front Plate,968,Designer Added Icon 1,,251.9625,355.859,9.69923008566056,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2005-2006,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
