type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Predator 500 2007,,Right Tank,969,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Left Tank,970,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Front Plate,968,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Right Front Fender,1455,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Left Front Fender,1456,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Front Hood,1448,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Upper Right Shroud,963,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Upper Left Shroud,964,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Right Rear Fender,1453,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Left Rear Fender,1454,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 2007,,Left Rear Fender,1454,Designer Added Icon 1,,927.7533545443698,411.41324605372574,22.900000000000055,-10,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Predator 500 2007,,Right Rear Fender,1453,Designer Added Icon 1,,927.7546454556302,411.41324605372574,22.900000000000055,10,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Predator 500 2007,,Left Tank,970,Designer Added Icon 1,,267.1774165503166,432.6759440165253,8.712630464557126,23,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Predator 500 2007,,Left Tank,970,Designer Added Icon 2,,698.9915061324336,-290.9685467666927,2.962630464557134,42,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Predator 500 2007,,Right Tank,969,Designer Added Icon 1,,940.9495834496834,432.6759440165253,8.712630464557126,-23,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Predator 500 2007,,Right Tank,969,Designer Added Icon 2,,509.1354938675663,-290.9685467666927,2.962630464557134,-42,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Predator 500 2007,,Left Front Fender,1456,Designer Added Icon 1,,354.5924999999999,374.0213167558962,8.303461875379304,103,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Predator 500 2007,,Right Front Fender,1455,Designer Added Icon 1,,358.53450000000004,374.0213167558962,8.303461875379304,-103,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Predator 500 2007,,Front Hood,1448,Designer Added Icon 1,,773.7434999999999,640.9174283293753,19.206780747857923,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Predator 500 2007,,Front Plate,968,Designer Added Icon 1,,251.9625,355.859,9.06671442125861,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Predator 500 2007,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2007,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2007,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 2007,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
