type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Predator 500 Cross Country Limited Edition 2006,,Right Tank,969,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Left Tank,970,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Front Plate,968,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Right Front Fender,1455,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Left Front Fender,1456,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Front Hood,1448,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Upper Right Shroud,963,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Upper Left Shroud,964,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Right Rear Fender,1453,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Left Rear Fender,1454,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Left Rear Fender,1454,Designer Added Icon 1,,927.7533545443698,429.2993844767063,21.350000000000033,-13,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Right Rear Fender,1453,Designer Added Icon 1,,927.7546454556302,429.2993844767063,21.350000000000033,13,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Predator 500 Cross Country Limited Edition 2006,,Left Tank,970,Designer Added Icon 1,,296.8349776479895,438.6074562360599,9.212630464557133,19,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Predator 500 Cross Country Limited Edition 2006,,Left Tank,970,Designer Added Icon 2,,639.676383937088,-225.72191235181242,2.5126304645571356,38,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Predator 500 Cross Country Limited Edition 2006,,Right Tank,969,Designer Added Icon 1,,911.2920223520105,438.6074562360599,9.212630464557133,-19,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Right Tank,969,Designer Added Icon 2,,568.450616062912,-225.72191235181242,2.5126304645571356,-38,6,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Left Front Fender,1456,Designer Added Icon 1,,416.98636103928584,374.0213167558962,7.753461875379299,85,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Right Front Fender,1455,Designer Added Icon 1,,296.1406389607141,374.0213167558962,7.753461875379299,-85,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Predator 500 Cross Country Limited Edition 2006,,Front Hood,1448,Designer Added Icon 1,,773.7434999999999,640.9174283293753,20.76589405688313,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,,Front Plate,968,Designer Added Icon 1,,251.9625,355.859,10.000000000000021,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Plate,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Upper Right Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Upper Left Shroud,,Designer Added Icon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator 500 Cross Country Limited Edition 2006,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
