type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RZR 2009,,Right Side Panel,1664,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Left Side Panel,1665,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Right Front Fender,1660,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Left Front Fender,1661,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Front Hood,1659,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Right Rear Fender,1662,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Left Rear Fender,1663,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Dashboard,1658,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RZR 2009,,Left Rear Fender,1663,Designer Added Icon 1,,1004.9369910352806,400.2393841334104,20,15,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
RZR 2009,,Right Rear Fender,1662,Designer Added Icon 1,,964.3170089647193,400.2393841334104,20,-15,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
RZR 2009,,Left Side Panel,1665,Designer Added Icon 1,,1228.1416819353228,115.27808989099407,30,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
RZR 2009,,Left Side Panel,1665,User Number,,1717.0605242074055,808.9316973645116,,0,5,White,,,,,,,,,,,,1,left,662,Bold Italic 11,1,,,,
RZR 2009,,Right Side Panel,1664,Designer Added Icon 1,,1720.3273180646772,115.27808989099407,30,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
RZR 2009,,Right Side Panel,1664,User Number,,1231.4084757925946,808.9316973645116,,0,5,White,,,,,,,,,,,,1,left,662,Bold Italic 11,1,,,,
