type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
RZR Pearl White with Graphics Package LE 2010,,Right Side Panel,1664,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Left Side Panel,1665,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Right Front Fender,1660,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Left Front Fender,1661,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Front Hood,1659,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Right Rear Fender,1662,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Left Rear Fender,1663,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Dashboard,1658,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Left Rear Fender,1663,Designer Added Icon 1,,976.6925,428.48387516869093,22.950000000000042,14,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Right Rear Fender,1662,Designer Added Icon 1,,992.5614999999999,428.48387516869093,22.950000000000042,-14,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
RZR Pearl White with Graphics Package LE 2010,,Left Side Panel,1665,Designer Added Icon 1,,1203.6957398217187,118.33383265519458,30,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Left Side Panel,1665,User Number,,1701.7818103864029,778.3742697225064,,0,5,White,,,,,,,,,,,,1,left,642,Bold Italic 11,1,,,,
RZR Pearl White with Graphics Package LE 2010,,Right Side Panel,1664,Designer Added Icon 1,,1744.7732601782814,118.33383265519458,30,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
RZR Pearl White with Graphics Package LE 2010,,Right Side Panel,1664,User Number,,1246.6871896135972,778.3742697225064,,0,5,White,,,,,,,,,,,,1,left,642,Bold Italic 11,1,,,,
RZR Pearl White with Graphics Package LE 2010,,Left Front Fender,1661,Designer Added Icon 1,,1111.7835967271083,540.4388994362247,20,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,,Right Front Fender,1660,Designer Added Icon 1,,815.2164032728917,540.4388994362247,20,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
RZR Pearl White with Graphics Package LE 2010,,Front Hood,1659,Designer Added Icon 1,,1582.0017139837491,1114.4292544698858,38.300000000000004,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Left Side Panel,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZR Pearl White with Graphics Package LE 2010,X,Right Rear Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
