type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Side Panel,1651,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Side Panel,1652,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Front Fender,1646,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Front Fender,1647,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Front Hood,1645,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Rear Fender,1648,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Rear Fender,1649,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Dashboard,1650,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Rear Fender,1649,Designer Added Icon 1,,923.9246781376515,304.69436707152494,24,0,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Rear Fender,1648,Designer Added Icon 1,,1426.9483218623486,304.69436707152494,24,0,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Side Panel,1652,Designer Added Icon 1,,1217.81523300797,205.25369068071197,31,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Side Panel,1652,User Number,,1804.4770980509259,747.5195226933903,,0,5,White,,,,,,,,,,,,1,left,707,Bold Italic 11,1,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Side Panel,1651,Designer Added Icon 1,,1869.8177669920299,205.25369068071197,31,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Side Panel,1651,User Number,,1283.155901949074,747.5195226933903,,0,5,White,,,,,,,,,,,,1,left,707,Bold Italic 11,1,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Left Front Fender,1647,Designer Added Icon 1,,1164.7501656093527,501.89667382424284,20,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Right Front Fender,1646,Designer Added Icon 1,,788.2338343906472,501.89667382424284,20,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,,Front Hood,1645,Designer Added Icon 1,,1637.964,1119.7488916830496,38.31703511274625,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger 900XP EFI Stealth Black/Evasive Green LE 2013,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
