type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Right Front Fender,1634,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Left Front Fender,1635,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Front Hood,1633,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Right Rear Fender,1636,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Left Rear Fender,1637,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Dashboard,1638,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Left Rear Fender,1637,Designer Added Icon 1,,1028.8307864089084,398.90063186626526,22.650000000000023,17,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Right Rear Fender,1636,Designer Added Icon 1,,1028.8372135910918,398.90063186626526,22.650000000000023,-17,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Left Front Fender,1635,Designer Added Icon 1,,1139.2122802883412,490.1791290766536,20,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Right Front Fender,1634,Designer Added Icon 1,,817.340719711659,490.1791290766536,20,0,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Ranger RZR 4 800 EPS Blue Fire/Orange LE 2013,,Front Hood,1633,Designer Added Icon 1,,1660.6588921178127,1052.8935321318936,44.1,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Rear Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Front Hood,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Governing Body Logo 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Series Sponsor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Class Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Regulatory Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Left Front Fender,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side By Side 4 Seater,X,Right Rear Fender,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
