type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Ranger RZR 800 Turbo Silver LE 2010,,Right Side Panel,1664,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Side Panel,1665,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Right Front Fender,1640,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Front Fender,1641,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Front Hood,1639,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Right Rear Fender,1642,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Rear Fender,1643,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Dashboard,1644,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Rear Fender,1643,Designer Added Icon 1,,1007.9321331377686,408.14331065038175,23.400000000000034,13,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Right Rear Fender,1642,Designer Added Icon 1,,952.1068668622314,408.14331065038175,23.400000000000034,-13,3,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Side Panel,1665,Designer Added Icon 1,,1170.082569415513,87.7764050131894,30,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Side Panel,1665,User Number,,1686.5030965654003,793.652983543509,,0,5,White,,,,,,,,,,,,1,left,562,Bold Italic 11,1,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Right Side Panel,1664,Designer Added Icon 1,,1778.386430584487,87.7764050131894,30,0,4,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Ranger RZR 800 Turbo Silver LE 2010,,Right Side Panel,1664,User Number,,1261.9659034345998,793.652983543509,,0,5,White,,,,,,,,,,,,1,left,562,Bold Italic 11,1,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Left Front Fender,1641,Designer Added Icon 1,,1078.151380603143,513.042206728062,20,-12,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,,Right Front Fender,1640,Designer Added Icon 1,,853.493619396857,513.042206728062,20,12,3,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Ranger RZR 800 Turbo Silver LE 2010,,Front Hood,1639,Designer Added Icon 1,,1570.0264350293328,1220.8530337302261,40.1,0,4,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,X,Front Hood,,Corporate Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,X,Front Hood,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger RZR 800 Turbo Silver LE 2010,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
