type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Scrambler 400 2x4 2000-2002,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Front Hood,1168,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Rear Fender,1167,Designer Added Icon 1,,957.1536824040594,191.77357719722818,24,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Right Rear Fender,1166,Designer Added Icon 1,,1374.4573175959404,191.77357719722818,24,0,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Scrambler 400 2x4 2000-2002,,Left Side Cover,1161,Designer Added Icon 1,,528.562970238393,-340.69496793114195,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Side Cover,1161,User Number,,664.5566226386243,96.84982674786333,,0,6,White,,,,,,,,,,,,1,left,180,Bold Italic 11,1,,,,
Scrambler 400 2x4 2000-2002,,Right Side Cover,1160,Designer Added Icon 1,,657.181029761607,-340.69496793114195,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Scrambler 400 2x4 2000-2002,,Right Side Cover,1160,User Number,,521.1873773613756,96.84982674786333,,0,6,White,,,,,,,,,,,,1,left,180,Bold Italic 11,1,,,,
Scrambler 400 2x4 2000-2002,,Left Tank,1174,Designer Added Icon 1,,857.7096035488282,-399.8712925322688,3.406611692599554,55,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Scrambler 400 2x4 2000-2002,,Left Tank,1174,Designer Added Icon 2,,118.563193292418,334.81346937249305,13.5,36,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Scrambler 400 2x4 2000-2002,,Right Tank,1172,Designer Added Icon 1,,697.5093964511718,-399.8712925322688,3.406611692599554,-55,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Right Tank,1172,Designer Added Icon 2,,1436.655806707582,334.81346937249305,13.5,-36,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Scrambler 400 2x4 2000-2002,,Left Front Fender,1163,Designer Added Icon 1,,523.9791932003945,902.8621855537425,14.690599307904234,-61,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Scrambler 400 2x4 2000-2002,,Right Front Fender,1162,Designer Added Icon 1,,101.70480679960542,902.8621855537425,14.690599307904234,61,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
