type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Scrambler 500 2006,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Front Hood,1169,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 2006,,Left Rear Fender,1167,Designer Added Icon 1,,1160.7739455619542,149.2594563181073,24.200000000000003,8,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,,Right Rear Fender,1166,Designer Added Icon 1,,1170.8370544380457,149.2594563181073,24.200000000000003,-8,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2006,,Left Side Cover,1161,Designer Added Icon 1,,736.6923860857036,-335.96475393461213,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,,Left Side Cover,1161,User Number,,749.7004745761604,118.13578973224737,,0,6,White,,,,,,,,,,,,1,left,153,Bold Italic 11,1,,,,
Scrambler 500 2006,,Right Side Cover,1160,Designer Added Icon 1,,449.05161391429635,-335.96475393461213,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2006,,Right Side Cover,1160,User Number,,436.04352542383947,118.13578973224737,,0,6,White,,,,,,,,,,,,1,left,153,Bold Italic 11,1,,,,
Scrambler 500 2006,,Left Tank,1174,Designer Added Icon 1,,1007.918431387656,-578.3372265982028,4.406611692599551,55,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2006,,Left Tank,1174,Designer Added Icon 2,,76.92114201036674,354.14727889630257,15.5,36,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2006,,Right Tank,1172,Designer Added Icon 1,,547.300568612344,-578.3372265982028,4.406611692599551,-55,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,,Right Tank,1172,Designer Added Icon 2,,1478.2978579896333,354.14727889630257,15.5,-36,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,,Left Front Fender,1163,Designer Added Icon 1,,493.8561637567378,902.8621855537425,13.440599307904217,-61,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2006,,Right Front Fender,1162,Designer Added Icon 1,,131.82783624326214,902.8621855537425,13.440599307904217,61,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,,Upper Left Shroud,1157,Designer Added Icon 1,,898.9666632115697,636.7233866398514,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,,Upper Right Shroud,1156,Designer Added Icon 1,,716.8923367884303,636.7233866398514,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Scrambler 500 2006,,Front Hood,1169,Designer Added Icon 1,,298.97625625858626,502.7321313371444,11.248217867958543,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 2006,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
