type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Scrambler 500 4x4 2003,,Right Tank,1172,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Left Tank,1174,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Right Front Fender,1162,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Left Front Fender,1163,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Rear Facing Right Front Fender,1164,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Rear Facing Left Front Fender,1165,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Front Hood,1169,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Upper Right Shroud,1156,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Upper Left Shroud,1157,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Right Side Cover,1160,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Left Side Cover,1161,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Right Rear Fender,1166,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Left Rear Fender,1167,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Scrambler 500 4x4 2003,,Left Rear Fender,1167,Designer Added Icon 1,,1160.7739455619542,216.38701560092974,24,4,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,,Right Rear Fender,1166,Designer Added Icon 1,,1170.8370544380457,216.38701560092974,24,-4,5,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Scrambler 500 4x4 2003,,Left Side Cover,1161,Designer Added Icon 1,,720.1366370978493,-330.0519864389499,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,,Left Side Cover,1161,User Number,,720.1366370978493,125.23111072704205,,0,6,White,,,,,,,,,,,,1,left,165,Bold Italic 11,1,,,,
Scrambler 500 4x4 2003,,Right Side Cover,1160,Designer Added Icon 1,,465.6073629021506,-330.0519864389499,13,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Scrambler 500 4x4 2003,,Right Side Cover,1160,User Number,,465.6073629021506,125.23111072704205,,0,6,White,,,,,,,,,,,,1,left,165,Bold Italic 11,1,,,,
Scrambler 500 4x4 2003,,Left Tank,1174,Designer Added Icon 1,,912.7365998858245,-410.2818053527816,3.5066116925995536,57,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Scrambler 500 4x4 2003,,Left Tank,1174,Designer Added Icon 2,,87.33165483087954,331.8390371380608,15.8,38,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Scrambler 500 4x4 2003,,Right Tank,1172,Designer Added Icon 1,,642.4824001141756,-410.2818053527816,3.5066116925995536,-57,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,,Right Tank,1172,Designer Added Icon 2,,1467.8873451691204,331.8390371380608,15.8,-38,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,,Left Front Fender,1163,Designer Added Icon 1,,448.6716195912528,902.8621855537425,11.090599307904183,-67,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Scrambler 500 4x4 2003,,Right Front Fender,1162,Designer Added Icon 1,,177.01238040874716,902.8621855537425,11.090599307904183,67,5,Light Navy Blue,6981,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,,Upper Left Shroud,1157,Designer Added Icon 1,,894.2862641369601,619.5619233662828,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,,Upper Right Shroud,1156,Designer Added Icon 1,,721.5727358630398,619.5619233662828,17,0,6,Light Navy Blue,8441,,,,,,,,,,,,,,,,,1,,
Scrambler 500 4x4 2003,,Front Hood,1169,Designer Added Icon 1,,298.97625625858626,502.7321313371444,10.446766928838011,0,5,Light Navy Blue,8313,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Upper Right Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Upper Left Shroud,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Right Tank,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambler 500 4x4 2003,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
