type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
Sportsman 700 EFI 2007,,Right Tank,1606,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Left Tank,1607,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Dashboard Cover,1601,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Right Front Fender,1602,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Left Front Fender,1603,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Right Side Cover,1598,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Left Side Cover,1597,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Right Rear Fender,1604,Background,,0,0,1,0,2,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Left Rear Fender,1605,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
Sportsman 700 EFI 2007,,Left Rear Fender,1605,Designer Added Icon 1,,1000.2645514748409,204.8753834586467,22,0,4,Light Navy Blue,8320,,,,,,,,,,,,,,,,,,,
Sportsman 700 EFI 2007,,Right Rear Fender,1604,Designer Added Icon 1,,1102.778448525159,204.8753834586467,22,0,4,Light Navy Blue,8320,,,,,,,,,,,,,,,,,1,,
Sportsman 700 EFI 2007,,Left Side Cover,1597,Designer Added Icon 1,,475.7562652058743,-32.5345206787314,9,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,,,
Sportsman 700 EFI 2007,,Left Side Cover,1597,User Number,,491.4674170951061,201.3870741164976,,0,6,White,,,,,,,,,,,,1,left,114,Bold Italic 11,1,,,,
Sportsman 700 EFI 2007,,Right Side Cover,1598,Designer Added Icon 1,,395.45273479412566,-32.5345206787314,9,0,5,Light Navy Blue,6984,,,,,,,,,,,,,,,,,1,,
Sportsman 700 EFI 2007,,Right Side Cover,1598,User Number,,379.74158290489385,201.3870741164976,,0,6,White,,,,,,,,,,,,1,left,114,Bold Italic 11,1,,,,
Sportsman 700 EFI 2007,,Left Tank,1607,Designer Added Icon 1,,669.537785337505,-222.42030683591878,2.479169561165308,57,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,1,,
Sportsman 700 EFI 2007,,Left Tank,1607,Designer Added Icon 2,,43.86957614574583,335.820000112117,13.229169561165364,38,6,Light Navy Blue,6981,,,,,,,,,,,,,,,,,1,,
Sportsman 700 EFI 2007,,Right Tank,1606,Designer Added Icon 1,,512.728214662495,-222.42030683591878,2.479169561165308,-57,5,Light Navy Blue,7310,,,,,,,,,,,,,,,,,,,
